,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,-1135.104,15085.64,3209.155837970975,17353.502485412508,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
1,1588711.0,-1310.904,20228.13,3995.4046665994565,21344.924008358885,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
2,1261992.0,-686.5537,26686.03,4986.510910397292,26249.18251877503,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
3,1002539.0,493.1925,32798.52,6241.635331399892,32272.10746180808,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
4,796289.1,642.6362,40926.65,7839.5565569248965,39664.23719319162,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
5,632460.9,3501.77,52108.79,9886.130072624905,48729.489285703916,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
6,502382.8,777.6629,63424.49,12524.848566751372,59834.82249553811,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
7,399257.8,6920.153,81696.42,15951.80741296807,73420.47572762151,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
8,316992.2,9583.44,100538.2,20436.865150938833,90009.85296726685,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
9,251835.9,20539.05,116556.7,26353.368890239213,110217.21724622285,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
10,200039.1,30114.97,153723.8,34219.39330112406,134749.81737842955,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
11,159023.4,146737.1,175470.8,44753.74679720837,164398.5478858455,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
12,126210.9,56360.5,228546.5,58949.3930730729,200007.30366521602,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
13,100429.7,78926.62,274567.6,78164.10643082642,242405.49858346093,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
14,79804.69,111443.0,332626.7,104220.71617877619,292281.08168984635,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
15,63398.44,144369.1,383577.3,139493.44857176798,349965.11327350046,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
16,50273.44,194681.3,447313.7,186928.46828964486,415100.4539648543,"(85, 3)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
