,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
59,2.547554,84494820.0,3349262.0,82758932.80938338,3037574.5803961963,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
60,2.020474,84697700.0,3544835.0,82966911.63950756,3331703.897233216,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
61,1.605308,84928030.0,3861708.0,83204019.95654567,3735910.660899422,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
62,1.273777,85219730.0,4286264.0,83478029.33644737,4261254.782538435,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
63,1.010237,85544780.0,4859542.0,83797724.61926053,4922768.90442524,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
64,0.7971939,85943330.0,5575149.0,84173208.33039145,5739879.84925966,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
65,0.6334459,86385060.0,6449837.0,84616235.51618949,6736971.276808577,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
66,0.5029507,86874810.0,7535947.0,85140592.44502002,7944104.367313637,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
67,0.3999573,87441650.0,8819453.0,85762532.97247113,9397918.075128293,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
68,0.3175813,88087110.0,10392920.0,86501287.46389596,11142735.996049482,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
69,0.2520161,88842700.0,12290010.0,87379660.93930578,13231913.28252088,"(45, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
