,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,-1604.481,15427.53,5617.637118649892,31279.8926003766,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
1,1588711.0,-2041.6,20122.59,6956.249781605527,38492.31737417844,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
2,1261992.0,-1995.791,25888.63,8625.093247111041,47363.32921966192,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
3,1002539.0,-1261.385,32990.97,10711.200988923514,58271.949480546784,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
4,796289.1,-837.5417,41741.71,13327.185551860457,71682.49643467992,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
5,632460.9,-352.8605,52250.36,16619.911034014473,88163.02876079638,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
6,502382.8,2988.971,67522.93,20782.541570744495,108407.32316009371,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
7,399257.8,2942.908,82609.69,26071.405823803147,133260.765501582,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
8,316992.2,2755.739,105170.5,32829.74627904613,163750.34670509363,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
9,251835.9,11844.78,129959.1,41521.306992287246,201118.54174349178,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
10,200039.1,-621.5328,162058.0,52777.93011968972,246860.0398112989,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
11,159023.4,15861.31,202923.6,67466.94276681644,302758.7955638247,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
12,126210.9,30040.22,251884.8,86786.11442964079,370920.20900475857,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
13,100429.7,41507.67,309669.9,112396.14477352961,453788.6612267372,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
14,79804.69,58375.43,385438.4,146602.31948083406,554133.0123829204,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
15,63398.44,77120.91,469268.3,192596.45255572523,674970.5173746747,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
16,50273.44,123001.4,590295.9,254763.8567913834,819381.4342550569,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
17,39960.94,153701.7,721410.3,339040.80872812297,990142.223160649,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
18,31757.81,228027.0,848711.7,453264.00622059125,1189079.3955880005,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
19,25195.31,344698.7,1025830.0,607369.3065739288,1416035.978780414,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
20,20039.06,456729.7,1246342.0,813163.0650258893,1667389.8162898475,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
21,16054.69,654035.4,1541895.0,1083232.5714280533,1934241.7468032718,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
22,12773.44,843083.9,1740621.0,1428504.0764007636,2200782.207613639,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
23,9946.65,1111021.0,1938848.0,1854260.929574436,2443912.2504981984,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
24,7888.72,1444486.0,2242052.0,2355385.61820159,2635563.5964725013,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
25,6288.11,1973992.0,2535408.0,2913012.7547921618,2748546.2874209597,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
26,5039.063,2437321.0,2631755.0,3495480.63324577,2764637.388450329,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
27,4001.524,2974820.0,2712905.0,4064839.2003846057,2681128.9565497893,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
28,3161.337,3548610.0,2712921.0,4586512.249921974,2511873.0088161738,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
29,2507.267,4140057.0,2590524.0,5037236.107134223,2282135.4825904826,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
30,1979.167,4600691.0,2397870.0,5407778.148268974,2020504.9631433922,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
31,1598.011,5014994.0,2217635.0,5700652.123184485,1752068.4290848435,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
32,1257.622,5361982.0,2014630.0,5925504.6132231485,1494998.8028019124,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
33,1004.464,5668238.0,1725709.0,6094742.357781107,1260238.94057621,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
34,800.3049,5889469.0,1494258.0,6220595.275841164,1052883.7002529488,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
35,631.0096,6064469.0,1244579.0,6313650.123694174,874015.6488814175,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
36,498.6702,6185660.0,1039209.0,6382404.205700862,722317.5649802532,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
37,397.2458,6293714.0,875103.6,6433367.128479936,595246.0009471471,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
38,319.6023,6361238.0,742961.7,6471383.791453721,489788.841756992,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
39,251.1161,6421389.0,551183.9,6499998.970936042,402909.08013241726,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
40,200.8929,6451202.0,449168.2,6521783.5644540675,331778.9997379312,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
41,158.0056,6470300.0,410682.9,6538597.484784269,273885.33646619564,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
42,126.6892,6500138.0,302287.6,6551789.732848428,227060.25002031177,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
43,99.734,6586606.0,336499.5,6562345.655516681,189472.69658834106,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
44,79.44915,6535622.0,230238.3,6570993.2378095295,159600.88788905714,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
45,63.34459,6884100.0,569220.9,6578279.043444836,136197.65375007543,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
46,49.86702,6563897.0,30647.87,6584622.291819348,118255.13416797742,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
47,39.72458,6566242.0,143965.7,6590353.470306206,104972.0652697323,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
48,31.88775,6574613.0,141695.3,6595742.145463962,95725.13032319244,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
49,24.93351,6606541.0,81773.89,6601017.306288978,90044.86908920252,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
50,19.94681,6600656.0,89697.41,6606382.597857331,87596.13633532338,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
51,15.94388,6610745.0,115325.1,6612028.1096515255,88162.86967396965,"(75, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
