,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,-1827.808,15651.39,5099.579826443644,27849.962568258365,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
1,1588711.0,-2364.172,20142.31,6284.196906193302,34247.23203220217,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
2,1261992.0,-1632.073,25355.06,7747.56501281428,42112.66502396637,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
3,1002539.0,-1859.717,33274.64,9557.072762773512,51782.49863854966,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
4,796289.1,-1931.963,42193.25,11797.293008257748,63669.601506265615,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
5,632460.9,-1295.003,53637.79,14574.79558371732,78280.73917833359,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
6,502382.8,-782.4313,68809.23,18024.503402413753,96237.62008721883,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
7,399257.8,360.368,84757.84,22318.166143500523,118302.48750425612,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
8,316992.2,-2186.182,106440.9,27675.76621319401,145409.13983500714,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
9,251835.9,5367.939,135766.5,34381.01931248568,178700.37022202753,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
10,200039.1,7102.153,168916.4,42802.634726793745,219572.89282510272,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
11,159023.4,10357.24,209327.8,53423.72614475736,269730.8234057177,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
12,126210.9,17236.22,254612.8,66882.80617341073,331248.62768656795,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
13,100429.7,23627.07,328764.4,84031.2819954512,406644.00551474397,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
14,79804.69,36472.45,410057.7,106014.45346253485,498960.2062278732,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
15,63398.44,52548.69,507542.6,134385.87522519825,611855.3697964294,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
16,50273.44,62915.9,628085.8,171268.72920647933,749692.9886373722,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
17,39960.94,109349.3,789502.8,219582.55490838634,917621.3900479965,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
18,31757.81,140558.3,951016.0,283358.8469693564,1121619.5182891942,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
19,25195.31,216218.4,1172289.0,368173.1327904221,1368468.672100275,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
20,20039.06,346974.3,1455290.0,481720.40437507484,1665581.7899007525,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
21,16054.69,441287.8,1813023.0,634547.025264996,2020579.8197668414,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
22,12773.44,563302.2,2089193.0,840909.7009982244,2440447.872814432,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
23,9946.65,716666.1,2627842.0,1119634.1631084683,2930041.91682078,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
24,7888.72,1393775.0,3038384.0,1494656.8503591917,3489686.4101564693,"(65, 1)",AC026_20241210_NewFinal,Li$_{2}$ZnCl$_4$,1.065,6
