'y-axis saved as y
'Q,PG3_59702-1.xye,SigmaYobs,Ycalc,Diff
39.367519,69.4358014,5.45669244,0,0
39.3359263,71.5451112,5.51944437,0,0
39.304359,73.9386857,5.59104169,0,0
39.2728171,71.3049937,5.5200477,0,0
39.2413008,71.6616965,5.52509577,0,0
39.2098097,71.7925528,5.5117685,0,0
39.1783441,74.2964187,5.5768072,0,0
39.1469038,69.8049575,5.43889786,0,0
39.1154888,71.321123,5.47614894,0,0
39.0840992,73.3441652,5.51839863,0,0
39.0527349,72.5699131,5.48120228,0,0
39.0213957,71.3070528,5.43141121,0,0
38.990082,73.0584017,5.47009717,0,0
38.9587933,72.2151056,5.42182214,0,0
38.9275299,72.9017101,5.42314084,0,0
38.8962917,73.9582807,5.44076771,0,0
38.8650787,74.4135418,5.43671209,0,0
38.8338908,71.4003996,5.32731418,0,0
38.802728,75.9453956,5.43486701,0,0
38.7715904,73.3222585,5.3549556,0,0
38.7404778,74.6883505,5.38277666,0,0
38.7093903,74.1316541,5.3430267,0,0
38.6783278,72.9603521,5.29376526,0,0
38.6472904,72.2511408,5.26392517,0,0
38.6162779,73.8658703,5.30439964,0,0
38.5852905,72.7090402,5.25522809,0,0
38.5543281,74.0713506,5.27507553,0,0
38.5233905,71.2302347,5.18618079,0,0
38.492478,71.8086814,5.18228147,0,0
38.4615902,71.7119129,5.15820926,0,0
38.4307274,74.5164625,5.2207877,0,0
38.3998894,74.5010082,5.21999832,0,0
38.3690763,73.0995296,5.17405442,0,0
38.338288,72.379541,5.14340823,0,0
38.3075245,72.340947,5.1283047,0,0
38.2767858,73.1848603,5.1409948,0,0
38.2460719,73.4753106,5.13813104,0,0
38.2153826,74.4526054,5.14674991,0,0
38.1847182,77.061065,5.20011094,0,0
38.1540784,72.1496009,5.05658865,0,0
38.1234633,73.0620989,5.07834166,0,0
38.0928729,74.7259033,5.11328148,0,0
38.0623071,74.7068718,5.10199796,0,0
38.0317659,72.6960185,5.03304414,0,0
38.0012494,71.4772019,4.98642691,0,0
37.9707574,72.4727378,4.99702715,0,0
37.94029,71.5850855,4.96203856,0,0
37.9098471,74.2638532,5.02942138,0,0
37.8794287,73.3748056,4.99525874,0,0
37.8490349,72.7683802,4.96465512,0,0
37.8186655,72.4928756,4.94866025,0,0
37.7883206,71.6753998,4.91958671,0,0
37.7580001,71.6303159,4.91522233,0,0
37.7277041,72.5037225,4.9245862,0,0
37.6974325,72.9478745,4.91806501,0,0
37.6671853,72.3389817,4.88215713,0,0
37.6369623,73.3849425,4.88929713,0,0
37.6067638,73.7153965,4.88769353,0,0
37.5765895,73.4399835,4.88210924,0,0
37.5464396,73.4449931,4.87642071,0,0
37.5163141,70.7451377,4.78889335,0,0
37.4862126,73.1504957,4.84373776,0,0
37.4561355,73.452792,4.84070046,0,0
37.4260826,73.7974918,4.83907826,0,0
37.3960539,74.5141647,4.84958294,0,0
37.3660495,76.0215318,4.87782865,0,0
37.3360691,73.4662313,4.7976445,0,0
37.3061129,72.823784,4.77206192,0,0
37.2761808,71.5651723,4.7370251,0,0
37.2462729,72.5940048,4.76049055,0,0
37.216389,73.3897736,4.78038316,0,0
37.1865293,71.1403179,4.72056819,0,0
37.1566934,73.0533738,4.75853197,0,0
37.1268817,72.2395722,4.72289985,0,0
37.097094,75.0729444,4.78130373,0,0
37.0673303,73.4827569,4.72761365,0,0
37.0375906,74.092079,4.73129272,0,0
37.0078747,73.5086441,4.70776362,0,0
36.9781829,74.0534986,4.71357522,0,0
36.9485149,72.7784587,4.67122002,0,0
36.9188709,74.9086224,4.71399916,0,0
36.8892508,74.0280178,4.68181371,0,0
36.8596544,71.4005466,4.61266252,0,0
36.8300819,72.3912671,4.63418984,0,0
36.8005332,72.5438505,4.62624102,0,0
36.7710083,72.9739555,4.6220917,0,0
36.7415073,71.9050408,4.59241405,0,0
36.71203,74.2222709,4.64819672,0,0
36.6825763,73.4647727,4.62168716,0,0
36.6531464,71.953107,4.57835376,0,0
36.6237402,74.0516927,4.62468052,0,0
36.5943578,74.7648677,4.62899838,0,0
36.5649989,73.1724468,4.58213611,0,0
36.5356637,71.5132342,4.53823362,0,0
36.5063522,73.4616178,4.57867838,0,0
36.4770642,73.1840188,4.55718744,0,0
36.4477998,73.7721951,4.56160546,0,0
36.418559,74.6441629,4.57573299,0,0
36.3893417,72.8196946,4.52658031,0,0
36.360148,74.6546309,4.56379935,0,0
36.3309777,73.0322034,4.51647767,0,0
36.3018309,72.5979524,4.50086926,0,0
36.2727077,72.0563918,4.48229092,0,0
36.2436079,74.4792105,4.53603306,0,0
36.2145315,72.1911344,4.4723552,0,0
36.1854785,72.3299118,4.46635711,0,0
36.1564489,74.9017266,4.51639028,0,0
36.1274428,73.1267784,4.46666044,0,0
36.0984599,71.6157146,4.42696081,0,0
36.0695004,74.2142171,4.48408817,0,0
36.0405641,73.5658043,4.46307204,0,0
36.0116513,73.0920576,4.4495208,0,0
35.9827617,72.3473239,4.42104085,0,0
35.9538954,74.908375,4.4688588,0,0
35.9250522,73.7764532,4.43232692,0,0
35.8962324,71.8543744,4.38343583,0,0
35.8674357,74.4331943,4.44347851,0,0
35.8386622,73.0604609,4.40473747,0,0
35.8099118,73.9549413,4.41342814,0,0
35.7811846,74.6388698,4.4157289,0,0
35.7524806,73.5293776,4.38755162,0,0
35.7237997,73.4159928,4.38143485,0,0
35.6951419,72.7291777,4.35475323,0,0
35.6665071,71.6794351,4.3284037,0,0
35.6378954,74.6014457,4.38335657,0,0
35.6093067,75.0347527,4.38242011,0,0
35.5807411,74.2910533,4.3656291,0,0
35.5521985,72.8113721,4.33133171,0,0
35.5236788,72.2663624,4.30821106,0,0
35.4951821,74.3781471,4.34750197,0,0
35.4667083,73.6148303,4.32748234,0,0
35.4382574,72.6251066,4.30134129,0,0
35.4098295,73.7003171,4.3168466,0,0
35.3814245,73.5980877,4.3043587,0,0
35.3530423,74.1240706,4.31206683,0,0
35.3246829,73.3452517,4.28818924,0,0
35.2963464,73.357797,4.28067006,0,0
35.2680328,72.1475769,4.24517001,0,0
35.2397419,72.1354342,4.23892073,0,0
35.2114738,72.837127,4.24876977,0,0
35.1832284,72.0628192,4.2230905,0,0
35.1550058,73.92009,4.24677989,0,0
35.1268059,73.9807873,4.23277587,0,0
35.0986287,75.3527219,4.25757803,0,0
35.0704742,73.522588,4.21485989,0,0
35.0423423,73.4166647,4.20736196,0,0
35.0142332,71.431732,4.15340994,0,0
34.9861466,73.0248258,4.18322958,0,0
34.9580826,72.7327468,4.16782991,0,0
34.9300413,72.2388578,4.15093133,0,0
34.9020226,72.0768235,4.14180355,0,0
34.8740263,74.1596699,4.17994407,0,0
34.8460526,71.9740998,4.12734798,0,0
34.8181014,73.5709629,4.15395432,0,0
34.7901727,73.9097442,4.15037088,0,0
34.7622666,73.3452269,4.13309756,0,0
34.7343829,72.8087437,4.11775662,0,0
34.7065216,73.6204024,4.13058335,0,0
34.6786828,73.5162811,4.12752999,0,0
34.6508663,71.3655835,4.07528428,0,0
34.6230723,73.6385621,4.11861517,0,0
34.5953006,75.8421204,4.16056605,0,0
34.5675512,73.4454985,4.09899298,0,0
34.5398242,73.9491621,4.102371,0,0
34.5121196,74.1807163,4.10270576,0,0
34.4844372,72.8135384,4.06795387,0,0
34.4567772,71.251855,4.02319503,0,0
34.4291394,73.7765269,4.06545161,0,0
34.4015238,73.8930272,4.05957996,0,0
34.3739305,75.2646251,4.08690467,0,0
34.3463593,75.0221594,4.07696552,0,0
34.3188104,74.890905,4.07207453,0,0
34.2912836,72.6359388,4.02185899,0,0
34.2637791,74.9226897,4.06665935,0,0
34.2362966,73.3980039,4.0234244,0,0
34.2088363,71.4978125,3.97366647,0,0
34.181398,73.1684171,4.00142236,0,0
34.1539819,75.0047981,4.03182882,0,0
34.1265878,73.0904457,3.98324514,0,0
34.0992157,72.9757629,3.97233328,0,0
34.0718658,73.3186937,3.97050988,0,0
34.0445377,72.5792026,3.94811821,0,0
34.0172318,73.4347603,3.95969774,0,0
33.9899478,73.0890633,3.95287059,0,0
33.9626857,71.9990148,3.93505289,0,0
33.9354456,75.3212994,3.99732566,0,0
33.9082274,73.7024404,3.94724908,0,0
33.8810311,71.6558988,3.89123542,0,0
33.8538568,73.0796601,3.91883882,0,0
33.8267042,72.7611313,3.90890323,0,0
33.7995735,72.9884569,3.90886518,0,0
33.7724647,74.8415942,3.94330241,0,0
33.7453777,73.9485633,3.91775226,0,0
33.7183125,71.5858716,3.86285356,0,0
33.6912691,72.188028,3.86604004,0,0
33.6642474,74.8726791,3.91519434,0,0
33.6372474,73.3310571,3.88531545,0,0
33.6102693,72.5559366,3.86966736,0,0
33.5833128,73.8742349,3.89267614,0,0
33.5563781,73.0969462,3.8659843,0,0
33.5294649,73.0808934,3.85341296,0,0
33.5025735,74.0372413,3.86236193,0,0
33.4757037,73.8026581,3.84968741,0,0
33.4488555,74.4411349,3.86109621,0,0
33.422029,72.1323435,3.81333079,0,0
33.395224,73.6929669,3.83470871,0,0
33.3684406,74.5278227,3.84097348,0,0
33.3416787,73.2056643,3.81271092,0,0
33.3149384,73.5730411,3.81693779,0,0
33.2882196,73.0272282,3.80293008,0,0
33.2615223,71.9873154,3.78196193,0,0
33.2348465,72.5264563,3.7901684,0,0
33.2081922,73.5683705,3.8041542,0,0
33.1815593,74.6842803,3.82013643,0,0
33.1549478,74.3553981,3.80734823,0,0
33.1283578,72.6280656,3.76956713,0,0
33.1017891,72.7973823,3.76661753,0,0
33.0752419,73.1695077,3.76651012,0,0
33.048716,73.703861,3.77214779,0,0
33.0222114,74.0873482,3.77758403,0,0
32.9957283,72.3937764,3.74163858,0,0
32.9692663,73.2743815,3.75333191,0,0
32.9428257,73.7352664,3.75823142,0,0
32.9164063,73.0384282,3.74150638,0,0
32.8900083,74.4758801,3.76735432,0,0
32.8636314,73.7378246,3.74825786,0,0
32.8372758,73.1377863,3.73162815,0,0
32.8109414,72.7741298,3.72095931,0,0
32.7846282,72.8326714,3.71543889,0,0
32.7583362,73.2040653,3.71676624,0,0
32.7320652,72.9161493,3.70486235,0,0
32.7058155,72.3529488,3.68906745,0,0
32.6795869,72.9242429,3.69607539,0,0
32.6533794,74.2150333,3.71653208,0,0
32.627193,74.2893267,3.71332949,0,0
32.6010276,74.1645346,3.70467103,0,0
32.5748833,72.3204068,3.66441694,0,0
32.54876,73.1073252,3.67608802,0,0
32.5226577,73.2727044,3.67362872,0,0
32.4965765,74.2748006,3.69010319,0,0
32.4705163,73.3587978,3.66693917,0,0
32.4444769,74.0489897,3.67527226,0,0
32.4184586,73.9315932,3.66500916,0,0
32.3924612,74.6679029,3.67463023,0,0
32.3664847,73.1920416,3.63970576,0,0
32.3405291,73.6664762,3.64322937,0,0
32.3145944,73.1018398,3.62879491,0,0
32.2886806,73.1771645,3.62490451,0,0
