XYDATA
# File generated by Mantid, Instrument POWGEN
# The X-axis unit is: Time-of-flight, The Y-axis unit is: Counts per microAmp.hour
# Data for spectra :1
# Spectrum 1 
# Time-of-flight              Y                 E
     3615.16603       69.43580141        1.24323880
     3618.05776       71.54511116        1.25753604
     3620.95181       73.93868567        1.27384859
     3623.84817       71.30499365        1.25767350
     3626.74684       71.66169652        1.25882364
     3629.64784       71.79255282        1.25578719
     3632.55115       74.29641870        1.27060544
     3635.45679       69.80495746        1.23918453
     3638.36475       71.32112303        1.24767172
     3641.27504       73.34416517        1.25729778
     3644.18765       72.56991306        1.24882306
     3647.10260       71.30705278        1.23747879
     3650.01987       73.05840174        1.24629290
     3652.93948       72.21510561        1.23529404
     3655.86143       72.90171011        1.23559449
     3658.78571       73.95828065        1.23961055
     3661.71233       74.41354180        1.23868653
     3664.64129       71.40039961        1.21376159
     3667.57260       75.94539565        1.23826615
     3670.50625       73.32225847        1.22005934
     3673.44225       74.68835053        1.22639802
     3676.38059       74.13165408        1.21734149
     3679.32129       72.96035209        1.20611789
     3682.26434       72.25114079        1.19931920
     3685.20974       73.86587027        1.20854080
     3688.15750       72.70904017        1.19733768
     3691.10761       74.07135059        1.20185967
     3694.06009       71.23023472        1.18160612
     3697.01492       71.80868140        1.18071771
     3699.97213       71.71191295        1.17523316
     3702.93169       74.51646253        1.18949087
     3705.89363       74.50100820        1.18931102
     3708.85793       73.09952958        1.17884328
     3711.82460       72.37954099        1.17186093
     3714.79365       72.34094699        1.16841978
     3717.76507       73.18486034        1.17131106
     3720.73887       73.47531065        1.17065859
     3723.71505       74.45260542        1.17262229
     3726.69360       77.06106505        1.18477993
     3729.67455       72.14960089        1.15208018
     3732.65787       73.06209888        1.15703633
     3735.64358       74.72590335        1.16499693
     3738.63168       74.70687176        1.16242612
     3741.62217       72.69601850        1.14671586
     3744.61505       71.47720195        1.13609471
     3747.61033       72.47273781        1.13850984
     3750.60800       71.58508553        1.13053813
     3753.60807       74.26385320        1.14589046
     3756.61054       73.37480561        1.13810693
     3759.61541       72.76838017        1.13113428
     3762.62268       72.49287560        1.12749005
     3765.63236       71.67539984        1.12086601
     3768.64445       71.63031589        1.11987164
     3771.65895       72.50372250        1.12200508
     3774.67585       72.94787450        1.12051931
     3777.69517       72.33898172        1.11233815
     3780.71691       73.38494252        1.11396491
     3783.74106       73.71539654        1.11359955
     3786.76764       73.43998348        1.11232724
     3789.79663       73.44499313        1.11103118
     3792.82804       70.74513769        1.09108917
     3795.86189       73.15049574        1.10358478
     3798.89815       73.45279201        1.10289277
     3801.93685       73.79749184        1.10252317
     3804.97798       74.51416471        1.10491653
     3808.02153       76.02153178        1.11135196
     3811.06753       73.46623127        1.09308301
     3814.11596       72.82378395        1.08725434
     3817.16683       71.56517225        1.07927164
     3820.22014       72.59400479        1.08461795
     3823.27589       73.38977361        1.08915023
     3826.33408       71.14031785        1.07552214
     3829.39473       73.05337381        1.08417171
     3832.45782       72.23957217        1.07605338
     3835.52336       75.07294439        1.08935997
     3838.59135       73.48275688        1.07712736
     3841.66179       74.09207896        1.07796559
     3844.73470       73.50864412        1.07260478
     3847.81006       74.05349857        1.07392888
     3850.88788       72.77845873        1.06427878
     3853.96816       74.90862242        1.07402547
     3857.05090       74.02801779        1.06669242
     3860.13612       71.40054663        1.05093719
     3863.22380       72.39126706        1.05584192
     3866.31395       72.54385047        1.05403088
     3869.40657       72.97395554        1.05308551
     3872.50166       71.90504078        1.04632383
     3875.59923       74.22227095        1.05903321
     3878.69928       73.46477265        1.05299334
     3881.80181       71.95310704        1.04312037
     3884.90682       74.05169267        1.05367534
     3888.01431       74.76486766        1.05465911
     3891.12429       73.17244684        1.04398213
     3894.23676       71.51323423        1.03397950
     3897.35171       73.46161783        1.04319433
     3900.46916       73.18401882        1.03829789
     3903.58910       73.77219514        1.03930448
     3906.71154       74.64416287        1.04252326
     3909.83648       72.81969457        1.03132444
     3912.96391       74.65463089        1.03980433
     3916.09385       73.03220337        1.02902268
     3919.22629       72.59795244        1.02546650
