,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,1859.651,13641.87,4274.783083514864,13300.133976942692,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
1,1588711.0,3527.785,17086.86,5591.775156149515,16045.93341192966,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
2,1261992.0,5782.312,20899.52,7351.491465097484,19260.434220457464,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
3,1002539.0,8789.577,24518.01,9699.444697963938,22962.450936206624,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
4,796289.1,12593.8,29154.11,12814.246873342701,27129.75936866123,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
5,632460.9,17807.42,33039.5,16899.464905989535,31673.480990927143,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
6,502382.8,23445.83,36706.24,22159.547647995078,36409.58659904058,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
7,399257.8,30399.21,40575.14,28753.41655168687,41037.86882017965,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
8,316992.2,38289.63,43048.39,36726.51802622551,45146.756051684046,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
9,251835.9,46442.83,45681.5,45938.664885851416,48264.4917836854,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
10,200039.1,57189.01,48422.93,56024.724260529874,49962.37547180924,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
11,159023.4,63932.97,47220.75,66428.42863661336,49981.39368749684,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
12,126210.9,71087.45,46775.24,76517.62773136838,48321.91905677775,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
13,100429.7,80733.29,43607.18,85735.84825023102,45243.82977490277,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
14,79804.69,89119.59,40569.58,93717.67728908124,41176.9906186739,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
15,63398.44,94985.37,37811.77,100322.74269510686,36594.679229509085,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
16,50273.44,100423.8,33385.75,105596.514782906,31910.314895786596,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
17,39960.94,105649.3,29779.28,109698.18150255538,27426.237832386865,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
18,31757.81,110159.2,26736.24,112832.68472889002,23328.894611356118,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
19,25195.31,113320.8,22187.19,115204.28454118087,19709.917135328924,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
20,20039.06,115725.3,19165.37,116992.47297254267,16594.71253086749,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
21,16054.69,117389.4,16992.54,118343.8363236021,13968.2024732122,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
22,12773.44,118749.8,14044.07,119372.8585391606,11794.09749139015,"(30, 2)",AC07_20250319_New_Final,Li$_{1.8}$Zn$_{0.7}$Zr$_{0.3}$Cl$_4$,0.967,6
