'y-axis saved as y
'Q,BL21Robot0301_FY25c1-2025-01-14-1311_scan2.xye,SigmaYobs,Ycalc,Diff
0.167602889,35.1226607,5.92643743,0,0
0.168354447,32.3592026,5.68851497,0,0
0.169106005,32.6438876,5.71348297,0,0
0.169857563,33.5290196,5.79042482,0,0
0.170609121,33.6561012,5.80138787,0,0
0.171360678,34.0563636,5.83578303,0,0
0.172112235,34.0488206,5.83513673,0,0
0.172863792,31.7599581,5.6355974,0,0
0.173615348,33.094639,5.75279402,0,0
0.174366904,32.1180759,5.66728117,0,0
0.17511846,31.6949374,5.6298257,0,0
0.175870015,32.2611444,5.67988947,0,0
0.17662157,32.2226659,5.6765012,0,0
0.177373125,31.4962905,5.6121556,0,0
0.178124679,30.1696841,5.4926937,0,0
0.178876233,32.0587017,5.66204042,0,0
0.179627787,31.9005433,5.6480566,0,0
0.18037934,31.3786207,5.60166231,0,0
0.181130893,31.1931052,5.5850788,0,0
0.181882445,30.9667763,5.56477999,0,0
0.182633998,30.2672945,5.50157201,0,0
0.18338555,30.0768137,5.48423319,0,0
0.184137101,32.4136794,5.69330127,0,0
0.184888652,31.6127895,5.62252519,0,0
0.185640203,31.1470944,5.5809582,0,0
0.186391754,30.6230904,5.53381337,0,0
0.187143304,29.7443175,5.45383512,0,0
0.187894854,30.0711782,5.48371937,0,0
0.188646403,30.45711,5.51879606,0,0
0.189397952,30.5801469,5.5299319,0,0
0.190149501,30.7843286,5.5483627,0,0
0.190901049,29.5737815,5.43817815,0,0
0.191652597,29.8282412,5.46152371,0,0
0.192404145,29.244413,5.40781037,0,0
0.193155692,28.5387536,5.3421675,0,0
0.193907239,29.734704,5.45295369,0,0
0.194658785,30.5297587,5.52537408,0,0
0.195410331,28.4898794,5.33759116,0,0
0.196161877,29.2791697,5.41102298,0,0
0.196913423,29.2391693,5.40732552,0,0
0.197664968,29.2981969,5.41278089,0,0
0.198416512,28.5769581,5.34574206,0,0
0.199168057,29.4980527,5.43121098,0,0
0.1999196,28.5419373,5.34246547,0,0
0.200671144,29.1933239,5.40308466,0,0
0.201422687,29.9019797,5.46827027,0,0
0.20217423,28.3948501,5.32868183,0,0
0.202925772,28.5954985,5.3474759,0,0
0.203677314,28.1504129,5.30569627,0,0
0.204428856,28.1917295,5.30958845,0,0
0.205180397,27.8354514,5.27593133,0,0
0.205931938,28.9727744,5.38263638,0,0
0.206683478,28.8118034,5.36766275,0,0
0.207435018,28.3805197,5.32733702,0,0
0.208186558,27.9842987,5.29001878,0,0
0.208938097,28.3318127,5.32276363,0,0
0.209689636,27.8877491,5.28088526,0,0
0.210441174,27.3845432,5.23302429,0,0
0.211192712,28.1781103,5.30830579,0,0
0.21194425,27.9760015,5.28923449,0,0
0.212695787,25.2205664,5.0220082,0,0
0.213447324,27.6925779,5.26237379,0,0
0.21419886,28.082776,5.29931844,0,0
0.214950396,28.0987433,5.30082478,0,0
0.215701932,28.1638016,5.30695784,0,0
0.216453467,27.0124508,5.19735036,0,0
0.217205002,27.9177434,5.28372439,0,0
0.217956536,27.4136591,5.23580549,0,0
0.21870807,26.3586268,5.13406533,0,0
0.219459604,27.5664708,5.25037816,0,0
0.220211137,26.9181689,5.18827225,0,0
0.22096267,25.9063411,5.08982721,0,0
0.221714202,27.1138677,5.20709782,0,0
0.222465734,27.6213415,5.25560097,0,0
0.223217265,26.7838941,5.17531584,0,0
0.223968796,27.4265785,5.2370391,0,0
0.224720327,27.5199673,5.2459477,0,0
0.225471857,26.8703356,5.18366045,0,0
0.226223386,26.2986617,5.12822208,0,0
0.226974916,27.3956386,5.23408431,0,0
0.227726445,25.8219899,5.08153421,0,0
0.228477973,27.2580904,5.22092811,0,0
0.229229501,27.4688647,5.24107476,0,0
0.229981029,27.1294325,5.20859218,0,0
0.230732556,27.4208504,5.23649218,0,0
0.231484082,27.0468193,5.20065566,0,0
0.232235609,27.0686212,5.20275131,0,0
0.232987134,25.795072,5.07888492,0,0
0.23373866,26.1533281,5.11403247,0,0
0.234490185,26.3280967,5.13109118,0,0
0.235241709,26.0507924,5.10399769,0,0
0.235993233,25.8777954,5.08702225,0,0
0.236744757,25.8655714,5.08582062,0,0
0.23749628,27.3473396,5.22946838,0,0
0.238247802,26.9599492,5.1922971,0,0
0.238999325,26.5955601,5.15708834,0,0
0.239750846,26.039897,5.10293024,0,0
0.240502368,26.7142311,5.16858115,0,0
0.241253888,25.3078271,5.03068854,0,0
0.242005409,25.3585926,5.03573158,0,0
0.242756929,26.3642814,5.134616,0,0
0.243508448,25.7318215,5.07265428,0,0
0.244259967,26.8931244,5.18585811,0,0
0.245011486,26.934343,5.18983073,0,0
0.245763004,27.9689488,5.28856775,0,0
0.246514521,25.9766556,5.09672989,0,0
0.247266038,27.302831,5.2252111,0,0
0.248017555,26.6739392,5.16468191,0,0
0.248769071,26.4711517,5.14501231,0,0
0.249520587,27.3146503,5.22634197,0,0
0.250272102,26.7628002,5.17327751,0,0
0.251023617,27.7719971,5.26991434,0,0
0.251775131,26.4349316,5.14149118,0,0
0.252526645,26.908916,5.18738045,0,0
0.253278158,26.6676063,5.16406877,0,0
0.254029671,26.1795742,5.11659792,0,0
0.254781183,26.1409237,5.11281954,0,0
0.255532695,27.6866318,5.26180879,0,0
0.256284207,26.1382292,5.11255604,0,0
0.257035717,26.2457905,5.12306457,0,0
0.257787228,25.7435498,5.07381019,0,0
0.258538738,26.5954757,5.15708015,0,0
0.259290247,26.2521543,5.12368562,0,0
0.260041756,27.0000135,5.19615372,0,0
0.260793265,26.9351913,5.18991246,0,0
0.261544772,27.0765143,5.20350981,0,0
0.26229628,26.3785175,5.13600209,0,0
0.263047787,26.4878757,5.14663732,0,0
0.263799293,25.6492365,5.06450753,0,0
0.264550799,26.8186834,5.17867583,0,0
0.265302305,27.4748889,5.24164945,0,0
0.26605381,26.8368908,5.18043346,0,0
0.266805314,26.2311456,5.12163506,0,0
