Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,2273.719,556.6995,2241.492825509384,537.5443409247944,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,2302.203,454.2728,2298.5118998502912,451.1649985433726,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,2325.958,366.3232,2340.3564041641453,376.24984283494854,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,2365.511,305.9479,2370.992280675089,312.7734009053245,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,2371.682,257.6199,2393.5042638306804,259.96158720704386,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,2392.525,209.358,2410.2011394659276,216.71060644384244,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,2397.247,186.2843,2422.7730436623247,181.84206149066426,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,2404.116,157.1721,2432.4445326933137,154.24411857507863,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,2405.06,142.2482,2440.1023825900693,132.94126057790237,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,2416.36,115.4294,2446.3944981868835,117.12276740900822,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,2426.527,108.4598,2451.8033960041125,106.1493052762887,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,2427.468,99.8378,2456.6996943612694,99.54936431030794,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,2440.461,105.0135,2461.380843498818,97.01237258356275,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,2446.934,113.186,2466.099410814017,98.3823517847136,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,2454.072,121.6398,2471.084234496888,103.65428149372218,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,2463.009,132.9887,2476.5569041417994,112.97442052514637,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,2473.014,148.2148,2482.745372833673,126.64538379241368,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,2484.946,166.0474,2489.8960366378287,145.13660263871924,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,2498.343,190.4059,2498.2852994364653,169.10079561699882,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,2513.075,219.7673,2508.231438645285,199.39718401751043,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,2529.951,254.3383,2520.107471976153,237.1223701925082,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
16054.69,2548.755,296.7261,2534.3556761359278,283.65004285430655,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12773.44,2570.072,346.825,2551.5044109673754,340.6809789942011,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9946.65,2597.795,414.9625,2572.1879483010935,410.3051811103067,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7888.72,2625.715,490.7265,2597.1700892215226,495.07843055200954,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6288.11,2658.344,580.2389,2627.372475438395,598.1160668997966,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
5039.063,2693.734,685.8036,2663.9086616215836,723.2074375154448,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
4001.524,2735.248,817.9471,2708.1252199056944,874.9552232863958,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
3161.337,2783.511,982.293,2761.65140153216,1058.9447637606872,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2507.267,2836.944,1179.515,2826.4591922526124,1281.9496108552855,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1979.167,2898.015,1425.791,2904.935978570401,1552.180875721822,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1598.011,2959.862,1696.899,2999.9725047765764,1879.589547287808,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1257.622,3036.484,2069.569,3115.0693628360864,2276.232912873574,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1004.464,3116.504,2500.997,3254.46593903264,2756.7185729993485,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
800.3049,3206.932,3038.49,3423.2965678875607,3338.742401032542,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
631.0096,3314.439,3737.406,3627.7796455986518,4043.7402589763415,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
498.6702,3438.509,4602.256,3875.4466689446926,4897.677470939627,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
397.2458,3580.163,5642.684,4175.419635938123,5932.005129999466,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
319.6023,3742.81,6868.915,4538.747025614643,7184.818459171204,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251.1161,3966.321,8556.575,4978.810731809142,8702.259889376686,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200.8929,4225.779,10495.87,5511.818939034452,10540.218530762835,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
158.0056,4581.727,13084.02,6157.403093895789,12766.38863045657,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126.6892,4997.833,16025.34,6939.340959417751,15462.762831932356,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
99.734,5572.767,19961.63,7886.432383437663,18728.652065608232,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79.44915,6269.093,24565.31,9033.560036864117,22684.34329691393,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63.34459,7146.282,30172.39,10422.974190273231,27475.52985129702,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
49.86702,8399.436,37601.84,12105.848848936675,33278.67749074014,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39.72458,9915.13,46201.05,14144.16656086297,40307.52388139925,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31.88775,11791.92,56364.23,16613.001317895316,48820.95083633083,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
24.93351,14468.4,70311.02,19603.28363220673,59132.51927846201,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
19.94681,17610.29,85814.04,23225.149629697145,71622.01810920604,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
15.94388,21619.08,104696.2,27611.997511921847,86749.45234300081,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12.40079,27388.75,130661.8,32925.40079151287,105071.98570951242,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9.91015,33970.0,158988.9,39361.05926217241,127264.46174227497,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7.971939,41984.29,192065.0,47156.0068854764,154144.25917302156,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6.351626,52455.85,233688.2,56597.342070661325,186701.39708927635,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
5.095109,65119.56,282243.1,68032.80189534916,226134.99866863422,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
4.040948,81721.59,343744.1,81883.56972998785,273897.45649808616,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
3.175813,103375.7,421415.7,98659.78798804944,331747.9261464983,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2.547554,128116.7,507636.6,118979.34735744557,401817.1182304628,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2.020474,159781.8,615470.1,143590.64454583375,486685.7753524575,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.605308,198374.5,744309.8,173400.14673819102,589479.7243225144,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.273777,245877.5,900047.7,209505.778002709,713985.0045645712,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.010237,303929.5,1087667.0,253237.3573112557,864787.3130415952,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.7971939,376094.5,1318863.0,306205.5775610988,1047440.9016436512,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.6334459,461224.7,1588847.0,370361.3295611523,1268673.1477569374,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.5029507,564367.4,1914222.0,448067.55596496613,1536632.332623027,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.3999573,687731.4,2302427.0,542186.2816274732,1861187.7534986255,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.3175813,837069.1,2771888.0,656184.0258306176,2254293.2231504195,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.2520161,1017316.0,3338412.0,794259.4788519425,2730427.3448604243,"(35, 27)",R-RQ-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
