Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,901.1102,108.4425,910.798980835452,3.1553750189262035,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,896.0772,86.04367,910.9726770647845,3.8413445755448437,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,892.2119,72.42838,911.1841343604585,4.676441963177288,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,895.239,59.22675,911.4415618709206,5.693087148232088,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,893.0971,50.95358,911.7549533901469,6.930748105626954,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,894.171,44.60405,912.1364753345053,8.437473035797161,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,895.4147,41.76758,912.6009390646873,10.271755681324732,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,896.2592,40.28947,913.1663758890805,12.504806158098566,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,898.6035,40.14468,913.8547370712439,15.223315458711573,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,904.1796,37.51215,914.6927460170135,18.53282095103553,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,905.8107,40.77282,915.7129357246655,22.561803526615694,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,908.7645,44.99297,916.9549117737911,27.466675457476157,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,912.1851,50.05411,918.466889884364,33.437852598811595,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,915.1241,57.26323,920.3075677367762,40.70714667127718,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,919.4957,65.84778,922.5484037202261,49.55676460442826,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,924.6589,76.45524,925.2763910745282,60.33026431183309,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,930.6522,89.11714,928.5974351224617,73.44589222054269,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,937.5621,104.2882,932.6404647028303,89.41282034154025,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,945.2628,122.297,937.5624374173767,108.8509132331361,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,954.349,144.4796,943.5544330041446,132.5147922459957,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,964.565,170.421,950.8490713928809,161.32313126660793,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
16054.69,975.809,200.6386,959.7295434245918,196.39432127208124,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12773.44,989.143,238.1423,970.5406048238483,239.08988825773778,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9946.65,1005.495,287.7762,983.7019602294089,291.0673500986995,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7888.72,1022.808,343.9853,999.7245568750441,354.3445643428923,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6288.11,1041.99,410.6835,1019.230420470237,431.37806503126296,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
5039.063,1063.535,489.6536,1042.9768033449454,525.1584297199596,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
4001.524,1088.322,589.2898,1071.8855823323684,639.3263790219538,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
3161.337,1116.703,714.1728,1107.07904766783,778.3141158588686,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2507.267,1148.022,865.5682,1149.9234722925162,947.51739146426,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1979.167,1183.732,1056.499,1202.082152999948,1153.5049780467189,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1598.011,1219.944,1269.037,1265.5799825768745,1404.2736802142908,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1257.622,1266.199,1562.997,1342.8820597439828,1709.5587851574242,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1004.464,1316.481,1905.783,1436.989388674182,2081.2120038189023,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
800.3049,1376.313,2334.34,1551.5553833140375,2533.661575399425,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
631.0096,1451.485,2891.891,1691.0276994134008,3084.472397274378,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
498.6702,1544.154,3580.915,1860.8209004349665,3755.02792556172,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
397.2458,1653.742,4405.435,2067.5266605415886,4571.360318934338,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
319.6023,1782.667,5375.226,2319.169665115308,5565.1610533366065,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251.1161,1961.793,6703.936,2625.5191433215523,6775.011241466628,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200.8929,2170.118,8225.685,2998.468126966935,8247.879420215395,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
158.0056,2452.627,10250.91,3452.4951591542763,10040.94495283615,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126.6892,2780.547,12550.22,4005.226377086371,12223.817833560548,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
99.734,3227.791,15621.43,4678.11979007292,14881.241071425991,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79.44915,3750.711,19199.38,5497.298317630426,18116.380564662843,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63.34459,4429.145,23572.23,6494.563927696236,22054.83018441847,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
49.86702,5342.414,29376.74,7708.6322456064845,26849.487552294064,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39.72458,6438.395,36088.83,9186.635563555186,32686.489798053342,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31.88775,7809.471,44102.83,10985.952600035864,39792.439734178704,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
24.93351,9717.07,55066.7,13176.436043782798,48443.202980227885,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
19.94681,11918.67,67304.63,15843.124359430809,58974.61755701012,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
15.94388,14707.32,82278.06,19089.543132014387,71795.53171608315,"(55, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
