Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
397.2458,1660.774,4423.636,2080.9955473012806,4567.678754155,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
319.6023,1790.533,5396.99,2334.939139359575,5558.231410703802,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251.1161,1970.689,6731.278,2643.9532635777905,6763.596583238612,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200.8929,2180.609,8259.479,3019.9805859936755,8230.358788714871,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
158.0056,2464.518,10292.29,3477.553674476217,10015.204922015118,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126.6892,2795.497,12601.76,4034.356648149209,12187.11507054702,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
99.734,3245.34,15687.64,4711.908626827058,14830.028431696821,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79.44915,3774.852,19275.01,5536.395394169436,18046.08736455168,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63.34459,4451.055,23684.71,6539.681416371275,21959.584950827364,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
49.86702,5392.974,29494.3,7760.541328520249,26721.76862890772,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39.72458,6489.086,36219.97,9246.158482660694,32516.685550105238,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31.88775,7868.167,44252.93,11053.948472907347,39568.29556635673,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
24.93351,9808.33,55259.34,13253.778112547527,48149.12674952816,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
19.94681,12038.13,67519.99,15930.665621355565,58590.80795770534,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
15.94388,14856.6,82509.52,19188.06637898171,71296.8855072817,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12.40079,18901.0,103253.8,23151.871231023557,86758.4192849474,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9.91015,23482.37,125985.9,27975.271872865505,105572.96105247096,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7.971939,29042.16,152716.1,33844.68134688065,128467.64841092881,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6.351626,36293.22,186489.4,40986.93846622762,156327.3069515534,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
5.095109,45091.12,226210.0,49678.07459920658,190228.64667495678,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
4.040948,56647.1,276855.7,60253.98162968319,231481.8742895639,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
3.175813,71840.94,341279.9,73123.39338505376,281681.3296063035,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2.547554,89433.14,413630.3,88783.68223328174,342767.1030066138,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2.020474,112148.1,504617.6,107840.0813501713,417100.0153533685,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.605308,140200.1,614175.6,131029.0755521067,507552.8581411834,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.273777,175263.4,747585.0,159246.8646946951,617621.4201024101,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1.010237,218883.3,909410.8,193583.99968044274,751559.5911849051,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.7971939,274144.7,1110050.0,235367.52967535466,914543.7653512118,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.6334459,340706.9,1345680.0,286212.2894248321,1112872.8959790445,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.5029507,423067.7,1630913.0,348083.3088024891,1354211.9355317808,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.3999573,523805.5,1972380.0,423371.7565735445,1647888.0678672444,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.3175813,648492.0,2386164.0,514987.3534198739,2005251.1818638497,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
0.2520161,802416.6,2885963.0,626470.8257718711,2440112.517818355,"(55, 26)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
