Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,288.6432,17.58492,290.505974622839,1.948186302707704,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,286.8796,15.03077,290.61541339668776,2.3695653808441657,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,283.6215,13.78244,290.74852301226906,2.88208580785695,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,285.9512,12.52894,290.91042330717437,3.5054608203683486,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,286.1256,12.23395,291.1073415040752,4.263667490273225,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,286.2586,12.58111,291.34685173037434,5.185868962501369,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,286.8571,13.18025,291.6381663442836,6.30753616636077,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,287.5252,14.4581,291.99249027269536,7.671812145202985,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,288.5803,16.13877,292.4234519898588,9.33117148105741,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,289.8839,18.34677,292.947627713731,11.349438641213677,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,291.5034,21.13677,293.58517898233407,13.80424287906001,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,293.1382,24.15837,294.36062813342164,16.79000411281143,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,295.0513,28.15884,295.30380151497565,20.42156462893388,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,297.5068,32.47805,296.45097670554037,24.83860629763075,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,300.0294,37.7805,297.8462778702941,30.21102320115961,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,303.2018,44.29686,299.5433729228858,36.74545632409591,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,306.7594,52.03429,301.6075377715114,44.693241651418575,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,310.798,61.12762,304.118167046987,54.360077384649,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,315.4224,72.0098,307.17182788375226,66.11778210926079,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,320.8555,84.81783,310.88597421235636,80.41859617150212,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,326.8276,100.388,315.4034644274439,97.81257634304843,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
16054.69,333.369,118.3882,320.8980561957445,118.96875283002063,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12773.44,341.024,140.668,327.58108975261786,144.70086239515038,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9946.65,350.5207,170.2876,335.70961674892067,175.99864737437693,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7888.72,360.5208,203.8768,345.59628731062514,214.06592445193584,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6288.11,371.4568,243.8139,357.62137560031584,260.36688744537116,"(85, 16)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
