Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,205.0338,9.213552,210.41581010940664,1.6216836290100842,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,204.4398,9.000551,210.50598033637579,1.9733527625035483,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,204.4303,8.545037,210.61570436842618,2.401282873933597,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,204.8475,8.613514,210.74922253305851,2.922011487358893,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,205.4215,8.750087,210.91169469119603,3.5556623607075455,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,205.9132,9.419137,211.10939964199852,4.326723176156885,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,206.4016,10.29886,211.34997776947512,5.264991876047507,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,207.2565,11.48208,211.64272630806872,6.406728215847642,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,208.0479,13.037,211.99895863786364,7.796055036375877,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,209.1518,15.06184,212.43244149451863,9.486663407987313,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,210.528,17.32965,212.9599269900713,11.543887542677238,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,212.1564,20.00153,213.60180000476333,14.047229659880111,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,213.763,23.40705,214.38286596859265,17.093432380375734,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,215.8074,27.10427,215.33330947671448,20.80021738214906,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,217.9711,31.56581,216.4898607847527,25.310834799999657,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,220.6235,36.97013,217.89721526368243,30.799599182202623,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,223.6038,43.41296,219.60976066966458,37.47862594339833,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,226.9576,50.99136,221.6936789798411,45.60602864652976,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,230.7888,60.05642,224.22950402034476,55.49589390094648,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,235.173,70.97615,227.31523372704362,67.53041936045588,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,240.0876,83.94629,231.07011731353597,82.17468389893332,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
16054.69,245.4472,98.9665,235.63926370296278,99.99462076262202,"(95, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
