Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,Circuit,sample_name,material_name,height,diameter
2000039.0,598.6061,47.93049,610.6471252631488,2.638612709152073,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1588711.0,597.4127,40.58406,610.7886953160191,3.2158139679251105,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1261992.0,596.86,34.00051,610.961234071662,3.919279036454549,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1002539.0,597.8748,30.23805,611.1715159893076,4.776628349401404,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
796289.1,598.3329,27.29624,611.4277974532836,5.821524361007241,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
632460.9,598.9832,25.92894,611.740140946785,7.094993247705316,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
502382.8,599.7877,25.22866,612.1208101392393,8.6470357355465,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
399257.8,600.8681,25.92314,612.5847513997386,10.538590299011343,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
316992.2,602.489,27.60108,613.150180642399,12.843925813080563,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
251835.9,606.9941,27.57593,613.8392985451948,15.653557602233882,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
200039.1,608.7391,30.77967,614.6791622241922,19.077801380393073,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
159023.4,610.6536,35.04832,615.7027475880863,23.251104621596536,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
126210.9,613.2684,39.59692,616.9502440846948,28.33732542577126,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
100429.7,616.1946,46.10897,618.4706326755694,34.536166145852754,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
79804.69,619.6434,53.92244,620.3236089953793,42.09101438236683,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
63398.44,623.911,63.18616,622.5819272058584,51.29849920962808,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
50273.44,628.79,74.32379,625.3342565720017,62.52013784354498,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
39960.94,634.4499,87.42095,628.6886629194258,76.19653003887956,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
31757.81,640.9377,103.1397,632.7768516667658,92.86465753634494,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
25195.31,648.4021,122.1251,637.7593390290109,113.17896779475757,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
20039.06,656.8594,144.5036,643.8317544308405,137.93706982738226,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
16054.69,666.1642,170.6049,651.2325215841689,168.11105104852737,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
12773.44,677.1249,202.8453,660.2522198151696,204.88564473645502,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
9946.65,690.788,245.7416,671.2449931983624,249.70474669720156,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
7888.72,705.2995,294.3634,684.6424554592286,304.32810753197293,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
6288.11,721.3538,351.9128,700.9706365991914,370.9004264396309,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
5039.063,739.069,420.0937,720.8706366251815,452.0355594122947,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
4001.524,759.5997,506.3998,745.1237973195578,550.9191481246362,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
3161.337,783.1199,614.8772,774.6823803798097,671.4336990766402,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
2507.267,809.1659,746.5814,810.7069564562962,818.3110240229826,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1979.167,839.2552,913.0709,854.6119731089952,997.3180270195315,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1598.011,870.3203,1098.452,908.1212908364562,1215.483132719226,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1257.622,910.6965,1354.884,973.3358677106082,1481.372246263438,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
1004.464,955.585,1653.336,1052.816250146732,1805.4250798941364,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
800.3049,1009.653,2025.86,1149.6831086771963,2200.365051615185,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
631.0096,1078.932,2508.998,1267.7397661058626,2681.6988499203662,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
498.6702,1163.636,3104.21,1411.6215289158563,3268.3252792009484,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
397.2458,1264.977,3815.916,1586.9776851904,3983.2772911772595,"(65, 28)",R-Q,AC048_R-Q_HighTemp,Li$_{2}$ZrCl$_6$,1.285,6
