'y-axis saved as y
'Q,PG3_59708-1.xye,SigmaYobs,Ycalc,Diff
35.5807411,79.3881794,4.53926497,0,0
35.5521985,77.6036208,4.49806161,0,0
35.5236788,80.7452028,4.55932341,0,0
35.4951821,79.5808171,4.52271712,0,0
35.4667083,79.603461,4.52051781,0,0
35.4382574,78.4521839,4.49073691,0,0
35.4098295,80.5027693,4.52759618,0,0
35.3814245,78.6207805,4.47457146,0,0
35.3530423,77.5681611,4.44591381,0,0
35.3246829,78.4661383,4.46008584,0,0
35.2963464,78.5607071,4.45413437,0,0
35.2680328,77.6834475,4.4263113,0,0
35.2397419,79.5886893,4.46294237,0,0
35.2114738,76.8663375,4.39492126,0,0
35.1832284,77.9906706,4.41212801,0,0
35.1550058,78.2905017,4.39999702,0,0
35.1268059,79.317066,4.40747385,0,0
35.0986287,79.641351,4.40817266,0,0
35.0704742,77.2576897,4.35308979,0,0
35.0423423,77.2265489,4.34703278,0,0
35.0142332,77.4886936,4.34384491,0,0
34.9861466,79.4793602,4.38144061,0,0
34.9580826,79.4465641,4.3716203,0,0
34.9300413,78.4799392,4.34413525,0,0
34.9020226,76.9327992,4.30394258,0,0
34.8740263,78.4295695,4.32830198,0,0
34.8460526,79.3713052,4.34516491,0,0
34.8181014,76.8518752,4.28005004,0,0
34.7901727,79.2634435,4.32199288,0,0
34.7622666,78.990152,4.31102678,0,0
34.7343829,80.3362297,4.33670644,0,0
34.7065216,79.5800729,4.31469554,0,0
34.6786828,81.0323049,4.34503273,0,0
34.6508663,78.8503509,4.2930136,0,0
34.6230723,78.3188558,4.27402207,0,0
34.5953006,80.0178594,4.30431826,0,0
34.5675512,79.1875909,4.27712323,0,0
34.5398242,79.1300138,4.26795376,0,0
34.5121196,77.4720594,4.22696805,0,0
34.4844372,79.3449753,4.26260137,0,0
34.4567772,78.2581863,4.22869916,0,0
34.4291394,81.1057258,4.27639434,0,0
34.4015238,76.3928744,4.16593141,0,0
34.3739305,77.0444114,4.17745225,0,0
34.3463593,77.6253143,4.1852037,0,0
34.3188104,78.0332256,4.19176172,0,0
34.2912836,79.257151,4.2164005,0,0
34.2637791,79.8425794,4.22383699,0,0
34.2362966,79.1806063,4.19922557,0,0
34.2088363,78.7525779,4.18143692,0,0
34.181398,80.0396265,4.19989949,0,0
34.1539819,77.2420704,4.13103536,0,0
34.1265878,79.781263,4.17740483,0,0
34.0992157,78.7867276,4.14767235,0,0
34.0718658,78.110359,4.12388013,0,0
34.0445377,79.4233589,4.14495705,0,0
34.0172318,78.985938,4.1286248,0,0
33.9899478,79.1467727,4.13220617,0,0
33.9626857,78.9081852,4.13221555,0,0
33.9354456,77.016952,4.08387861,0,0
33.9082274,78.1473436,4.09174672,0,0
33.8810311,78.5789902,4.08841177,0,0
33.8538568,79.0301198,4.09466331,0,0
33.8267042,77.8309407,4.06611857,0,0
33.7995735,79.1317551,4.08817081,0,0
33.7724647,78.2371008,4.06465179,0,0
33.7453777,79.2629739,4.07902086,0,0
33.7183125,77.1657357,4.03022281,0,0
33.6912691,77.7436131,4.03252914,0,0
33.6642474,80.0741464,4.07327222,0,0
33.6372474,77.3846204,4.01971453,0,0
33.6102693,79.0597544,4.05470246,0,0
33.5833128,78.6175188,4.04077272,0,0
33.5563781,77.6091544,4.00935945,0,0
33.5294649,80.2788578,4.05188827,0,0
33.5025735,80.6118339,4.04752591,0,0
33.4757037,77.5931258,3.97757407,0,0
33.4488555,77.0812838,3.96494886,0,0
33.422029,78.8502922,4.00139173,0,0
33.395224,78.6191253,3.98539367,0,0
33.3684406,80.1385381,4.00524059,0,0
33.3416787,78.478126,3.97023764,0,0
33.3149384,77.7987054,3.95273325,0,0
33.2882196,79.5639291,3.98573744,0,0
33.2615223,78.702761,3.96851159,0,0
33.2348465,78.4180061,3.95950308,0,0
33.2081922,80.2632779,3.98910263,0,0
33.1815593,80.3458615,3.9837182,0,0
33.1549478,79.7152164,3.96479695,0,0
33.1283578,78.847684,3.94470923,0,0
33.1017891,81.8068855,3.99727843,0,0
33.0752419,78.477093,3.92274275,0,0
33.048716,79.0416654,3.92864355,0,0
33.0222114,79.4632657,3.93450313,0,0
32.9957283,77.9483585,3.90246295,0,0
32.9692663,78.6909627,3.91093031,0,0
32.9428257,79.5009247,3.92246024,0,0
32.9164063,79.2142534,3.91393758,0,0
32.8900083,79.5104781,3.91636908,0,0
32.8636314,79.4080627,3.90992951,0,0
32.8372758,78.5491597,3.88814914,0,0
32.8109414,79.1314141,3.89617846,0,0
32.7846282,79.3419382,3.89346024,0,0
32.7583362,79.6545391,3.89326887,0,0
32.7320652,78.6468569,3.86704556,0,0
32.7058155,80.5145858,3.89920212,0,0
32.6795869,77.2741644,3.8304331,0,0
32.6533794,78.7474686,3.85406019,0,0
32.627193,80.1176721,3.87611664,0,0
32.6010276,79.3742359,3.855195,0,0
32.5748833,79.7725071,3.85939389,0,0
32.54876,79.4095712,3.84795505,0,0
32.5226577,78.4310449,3.82282368,0,0
32.4965765,80.4571182,3.858738,0,0
32.4705163,80.7799514,3.85978188,0,0
32.4444769,78.7783197,3.8153016,0,0
32.4184586,80.5061012,3.84081558,0,0
32.3924612,80.4436074,3.83448842,0,0
32.3664847,78.8540742,3.79767766,0,0
32.3405291,80.2749628,3.81919234,0,0
32.3145944,79.5135745,3.80094504,0,0
32.2886806,78.046739,3.76688812,0,0
32.2627876,79.7467464,3.79611674,0,0
32.2369155,80.0914998,3.80058203,0,0
32.2110641,79.8187801,3.79155459,0,0
32.1852336,79.7961635,3.78377587,0,0
32.1594238,79.3524556,3.76840154,0,0
32.1336348,78.8761382,3.75858185,0,0
32.1078666,78.4130328,3.74835006,0,0
32.0821191,78.1177221,3.73482011,0,0
32.0563923,78.6856762,3.73804119,0,0
32.0306862,78.5210885,3.73357448,0,0
32.0050008,79.4862376,3.74666684,0,0
31.979336,80.3440998,3.75634401,0,0
31.953692,78.3105313,3.71294552,0,0
31.9280685,79.2986623,3.73039782,0,0
31.9024656,78.5643395,3.71543809,0,0
31.8768834,78.4301965,3.70953032,0,0
31.8513217,79.2703351,3.72056762,0,0
31.8257806,78.4829738,3.69857728,0,0
31.80026,77.8980335,3.68085599,0,0
31.77476,79.1101435,3.69339607,0,0
31.7492805,79.5773537,3.69541489,0,0
31.7238215,79.4874956,3.69177162,0,0
31.6983829,78.1607855,3.66415064,0,0
31.6729649,78.4761748,3.6689414,0,0
31.6475673,79.7727106,3.69102592,0,0
31.6221901,79.8247258,3.68740034,0,0
31.5968334,80.2319896,3.6898197,0,0
31.5714969,78.2710141,3.64651999,0,0
31.546181,78.605518,3.64989435,0,0
31.5208854,78.9783307,3.65282346,0,0
31.4956101,79.8538381,3.66171347,0,0
31.4703552,78.4253942,3.62842773,0,0
31.4451205,77.750221,3.61300643,0,0
31.4199062,78.5669231,3.62652895,0,0
31.3947121,78.8231891,3.62502258,0,0
31.3695384,79.65687,3.63187492,0,0
31.3443849,79.6042677,3.62509512,0,0
