-6.273351e-001,0.000000e+000
3.369140e-001,5.120019e+001
1.301163e+000,7.299030e+000
2.265412e+000,1.823912e+000
3.229661e+000,1.615952e+000
4.193911e+000,5.832345e-001
5.158160e+000,1.147731e+000
6.122409e+000,5.023699e-001
7.086658e+000,1.460491e+000
8.050907e+000,1.483318e+000
9.015156e+000,4.053368e-001
9.979405e+000,1.186680e+000
1.094365e+001,7.200065e-001
1.190790e+001,6.798549e-001
1.287215e+001,1.309001e+000
1.383640e+001,1.409739e+000
1.480065e+001,7.640420e-001
1.576490e+001,1.311560e+000
1.672915e+001,1.295294e+000
1.769340e+001,6.719813e-001
1.865765e+001,9.413653e-001
1.962190e+001,8.754765e-001
2.058615e+001,3.061445e-001
2.155039e+001,1.095790e+000
2.251464e+001,7.773057e-001
2.347889e+001,6.275792e-001
2.444314e+001,1.223831e+000
2.540739e+001,8.804277e-001
2.637164e+001,5.212116e-001
2.733589e+001,1.265998e+000
2.830014e+001,1.338890e+000
2.926439e+001,1.884042e+000
3.022864e+001,1.254060e+000
3.119289e+001,1.249572e+000
3.215714e+001,1.436255e+000
3.312138e+001,8.593492e-001
3.408563e+001,1.272657e+000
3.504988e+001,5.477527e-001
3.601413e+001,2.516862e-001
3.697838e+001,4.618260e-001
3.794263e+001,8.632500e-001
3.890688e+001,8.881584e-001
3.987113e+001,1.549054e-001
4.083538e+001,9.620693e-002
4.179963e+001,5.588272e-001
4.276387e+001,6.041302e-001
4.372813e+001,3.426366e-001
4.469238e+001,3.304586e-001
4.565662e+001,6.116861e-001
4.662087e+001,1.216173e+000
4.758512e+001,1.388265e+000
4.854937e+001,1.717529e+000
4.951362e+001,9.702562e-001
5.047787e+001,2.402795e-001
5.144212e+001,5.070791e-001
5.240637e+001,4.265397e-001
5.337062e+001,5.968078e-001
5.433487e+001,9.138308e-001
5.529911e+001,2.991499e-001
5.626336e+001,6.758203e-001
5.722761e+001,6.359886e-001
5.819186e+001,1.888942e+000
5.915611e+001,2.675182e+000
6.012036e+001,1.695874e+000
6.108461e+001,1.330735e+000
6.204886e+001,1.459676e+000
6.301311e+001,2.059098e+000
6.397736e+001,2.193698e+000
6.494160e+001,2.085892e+000
6.590585e+001,2.277373e+000
6.687010e+001,2.536725e+000
6.783435e+001,2.568879e+000
6.879860e+001,3.011578e+000
6.976285e+001,5.016787e+000
7.072710e+001,5.893283e+000
7.169135e+001,6.316159e+000
7.265560e+001,7.385225e+000
7.361985e+001,7.945443e+000
7.458410e+001,9.158578e+000
7.554835e+001,1.196632e+001
7.651260e+001,1.567824e+001
7.747684e+001,1.835513e+001
7.844109e+001,2.047731e+001
7.940534e+001,2.299683e+001
8.036959e+001,2.585940e+001
8.133384e+001,2.931648e+001
8.229809e+001,3.160576e+001
8.326234e+001,3.273942e+001
8.422659e+001,3.446149e+001
8.519083e+001,3.688398e+001
8.615509e+001,3.798484e+001
8.711934e+001,3.802845e+001
8.808359e+001,3.903865e+001
8.904784e+001,3.909437e+001
9.001208e+001,3.830883e+001
9.097633e+001,3.888820e+001
9.194058e+001,3.941796e+001
9.290483e+001,4.058013e+001
9.386908e+001,4.151557e+001
9.483333e+001,4.037511e+001
9.579758e+001,3.892319e+001
9.676183e+001,3.934121e+001
9.772607e+001,4.050021e+001
9.869032e+001,4.052877e+001
9.965457e+001,3.944959e+001
1.006188e+002,3.902954e+001
1.015831e+002,3.973257e+001
1.025473e+002,3.977191e+001
1.035116e+002,4.072495e+001
1.044758e+002,4.204085e+001
1.054401e+002,4.239553e+001
1.064043e+002,4.160891e+001
1.073686e+002,4.135712e+001
1.083328e+002,4.064048e+001
1.092971e+002,4.129498e+001
1.102613e+002,4.154178e+001
1.112256e+002,4.092886e+001
1.121898e+002,4.016712e+001
1.131541e+002,3.904588e+001
1.141183e+002,3.918352e+001
1.150826e+002,4.118854e+001
1.160468e+002,4.160634e+001
1.170111e+002,4.022512e+001
1.179753e+002,4.028381e+001
1.189396e+002,4.052319e+001
1.199038e+002,3.936697e+001
1.208681e+002,3.916304e+001
1.218323e+002,3.968350e+001
1.227966e+002,4.047349e+001
1.237608e+002,4.124135e+001
1.247251e+002,4.148402e+001
1.256893e+002,4.061216e+001
1.266535e+002,4.054536e+001
1.276178e+002,4.061530e+001
1.285820e+002,4.084567e+001
1.295463e+002,4.118716e+001
