,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,4765.661,12401.21,5834.170289049231,11750.802292307437,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
1,1588711.0,7179.754,14593.29,7688.315388723804,13632.699051342037,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
2,1261992.0,10040.1,16429.7,10051.229112917672,15541.744143839507,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
3,1002539.0,13467.31,17806.15,12969.372975626524,17333.57991586169,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
4,796289.1,17046.37,18913.89,16428.3801372653,18825.768488600035,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
5,632460.9,20722.27,19401.63,20327.762185881587,19829.434941616088,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
6,502382.8,24641.46,19444.23,24477.76670724425,20198.63357657038,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
7,399257.8,28363.59,19063.88,28630.482470958395,19878.138145464993,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
8,316992.2,31614.22,17925.13,32537.834235014318,18923.63037551548,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
9,251835.9,34549.28,16822.02,36009.68305950892,17481.797089611937,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
10,200039.1,37216.25,15379.35,38945.16771848305,15742.673999804667,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
11,159023.4,39656.03,14202.79,41329.77402918421,13890.24315446369,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
12,126210.9,41613.61,12779.78,43210.13959344624,12070.677815689309,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
13,100429.7,43256.95,11365.61,44664.01518774439,10382.107967179873,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
14,79804.69,44683.9,10112.03,45776.70087383174,8879.291615928256,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
15,63398.44,46072.14,8979.729,46627.11058236636,7584.6061902374095,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
16,50273.44,47148.82,7937.653,47281.78675973884,6499.461004710004,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
17,39960.94,47870.08,6963.691,47793.86761952537,5613.483324020294,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
18,31757.81,48598.69,6040.512,48204.496628878645,4910.947250836651,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
19,25195.31,49222.75,5164.077,48545.08998613615,4374.8605668895725,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
20,20039.06,49677.05,4696.714,48839.642058138445,3989.3644804508576,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
21,16054.69,49952.62,4289.569,49106.72888680666,3741.0345344493385,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
22,12773.44,50197.12,3964.11,49361.12385105077,3619.519895546857,"(30.0, 1)",AC_108_1_250lbs,Li$_{1.73}$Zn$_{0.6}$Zr$_{0.27}$Cl$_4$,1.761,6
