'y-axis saved as y
'x,NOM_9999_AC044_1_25_ftfrgr.xye,Ycalc,Diff
1,-0.283869625,-0.287591197,0.00372157164
1.01,-0.32371275,-0.291636327,-0.0320764235
1.02,-0.357055,-0.295734701,-0.0613202986
1.03,-0.382945625,-0.299779439,-0.0831661864
1.04,-0.400723125,-0.303656446,-0.0970666788
1.05,-0.410059,-0.307252682,-0.102806318
1.06,-0.410983625,-0.31046442,-0.100519205
1.07,-0.40388575,-0.313205071,-0.0906806786
1.08,-0.389505,-0.315412079,-0.0740929208
1.09,-0.3688935,-0.317052435,-0.051841065
1.1,-0.34336775,-0.318126114,-0.0252416359
1.11,-0.3144475,-0.318667367,0.00421986718
1.12,-0.28377725,-0.318743695,0.0349664448
1.13,-0.25304875,-0.318452498,0.0654037479
1.14,-0.223919375,-0.31791563,0.0939962553
1.15,-0.19792975,-0.317272129,0.119342379
1.16,-0.176434125,-0.316669575,0.14023545
1.17,-0.160533875,-0.316254715,0.15572084
1.18,-0.151031,-0.316163892,0.165132892
1.19,-0.14839625,-0.316513963,0.168117713
1.2,-0.152752625,-0.317394351,0.164641726
1.21,-0.1638815,-0.318860657,0.154979157
1.22,-0.181242375,-0.320930384,0.139688009
1.23,-0.204009125,-0.323581125,0.119572
1.24,-0.231123875,-0.326751399,0.0956275245
1.25,-0.2613605,-0.33034401,0.0689835101
1.26,-0.29339025,-0.334231881,0.0408416312
1.27,-0.325859875,-0.338266025,0.0124061498
1.28,-0.357462625,-0.342285076,-0.015177549
1.29,-0.38700475,-0.346125738,-0.0408790125
1.3,-0.413468875,-0.349633738,-0.0638351371
1.31,-0.43606075,-0.352674549,-0.0833862013
1.32,-0.4542455,-0.355142818,-0.0991026818
1.33,-0.46776575,-0.356969872,-0.110795878
1.34,-0.4766455,-0.358129382,-0.118516118
1.35,-0.481176375,-0.358640445,-0.12253593
1.36,-0.481895,-0.358567724,-0.123327276
1.37,-0.479536125,-0.358018233,-0.121517892
1.38,-0.47498225,-0.357135577,-0.117846673
1.39,-0.469209375,-0.356091646,-0.113117729
1.4,-0.46321925,-0.35507628,-0.10814297
1.41,-0.457979125,-0.354285472,-0.103693653
1.42,-0.454361,-0.353908977,-0.100452023
1.43,-0.453087625,-0.354118044,-0.0989695806
1.44,-0.4546945,-0.355053728,-0.0996407721
1.45,-0.45949125,-0.356817054,-0.102674196
1.46,-0.46754825,-0.359461838,-0.108086412
1.47,-0.47869725,-0.362990181,-0.115707069
1.48,-0.492535375,-0.367350371,-0.125185004
1.49,-0.50845875,-0.372439063,-0.136019687
1.5,-0.5256945,-0.378106931,-0.147587569
1.51,-0.543357,-0.384167479,-0.159189521
1.52,-0.560491875,-0.390407479,-0.170084396
1.53,-0.576144375,-0.396600242,-0.179544133
1.54,-0.58941475,-0.402519937,-0.186894813
1.55,-0.599519,-0.407956257,-0.191562743
1.56,-0.605832875,-0.412728476,-0.193104399
1.57,-0.607935875,-0.416698047,-0.191237828
1.58,-0.605644625,-0.419778834,-0.185865791
1.59,-0.59902225,-0.421944131,-0.177078119
1.6,-0.588383625,-0.423230165,-0.16515346
1.61,-0.574281375,-0.423735783,-0.150545592
1.62,-0.557482625,-0.423618051,-0.133864574
1.63,-0.538921,-0.423083581,-0.115837419
1.64,-0.519655125,-0.422376668,-0.0972784567
1.65,-0.500807125,-0.421764799,-0.0790423263
1.66,-0.483504375,-0.421522023,-0.0619823519
1.67,-0.46881275,-0.421910923,-0.0469018271
1.68,-0.457673875,-0.423164929,-0.0345089456
1.69,-0.450858,-0.425471847,-0.0253861534
1.7,-0.44891425,-0.428959626,-0.0199546237
1.71,-0.452137125,-0.433685363,-0.0184517622
1.72,-0.460542625,-0.439628358,-0.0209142673
1.73,-0.473870375,-0.446687874,-0.0271825007
1.74,-0.491587125,-0.454685895,-0.0369012301
1.75,-0.51291825,-0.46337486,-0.0495433897
1.76,-0.536879875,-0.472450182,-0.0644296931
1.77,-0.56233225,-0.481566953,-0.0807652967
1.78,-0.58803975,-0.490359975,-0.0976797747
1.79,-0.612741875,-0.498465985,-0.11427589
1.8,-0.63521625,-0.505546839,-0.129669411
1.81,-0.654345875,-0.511312254,-0.143033621
1.82,-0.669183,-0.515540716,-0.153642284
1.83,-0.679005625,-0.518096998,-0.160908627
1.84,-0.683357875,-0.518945216,-0.164412659
1.85,-0.682076375,-0.518156386,-0.163919989
1.86,-0.675308375,-0.515909563,-0.159398812
1.87,-0.663506375,-0.512486188,-0.151020187
1.88,-0.647402125,-0.50825758,-0.139144545
1.89,-0.62797225,-0.503665887,-0.124306363
1.9,-0.6063915,-0.499199116,-0.107192384
1.91,-0.583958625,-0.49536146,-0.0885971645
1.92,-0.562032,-0.49264027,-0.0693917298
1.93,-0.541948,-0.491471238,-0.0504767624
1.94,-0.524937875,-0.492203671,-0.0327342042
1.95,-0.5120555,-0.495067849,-0.0169876506
1.96,-0.504106125,-0.500146244,-0.0039598813
1.97,-0.501585375,-0.507350967,0.00576559161
1.98,-0.504634875,-0.516407556,0.0117726807
1.99,-0.513011,-0.526848692,0.0138376924
2,-0.526081875,-0.5380164,0.0119345253
2.01,-0.542828375,-0.549074627,0.00624625229
2.02,-0.561883,-0.559033053,-0.00284994664
2.03,-0.581572375,-0.566777689,-0.0147946856
2.04,-0.599988875,-0.571113385,-0.02887549
2.05,-0.615068625,-0.570810422,-0.0442582027
2.06,-0.624686375,-0.564658121,-0.0600282535
2.07,-0.62675525,-0.551521206,-0.0752340443
2.08,-0.619321875,-0.53039611,-0.0889257654
2.09,-0.600680625,-0.500466324,-0.100214301
2.1,-0.569456375,-0.461152526,-0.108303849
2.11,-0.5246885,-0.412156398,-0.112532102
2.12,-0.465903,-0.353495172,-0.112407828
2.13,-0.39315625,-0.285525224,-0.107631026
2.14,-0.30706625,-0.208953473,-0.098112777
2.15,-0.208814875,-0.124835662,-0.0839792135
2.16,-0.10013,-0.0345606609,-0.0655693391
2.17,0.016756,0.0601785134,-0.0434225134
2.18,0.139171,0.157426303,-0.0182553034
2.19,0.264076625,0.25501733,0.00905929495
2.2,0.3881905,0.35063901,0.0375514897
2.21,0.508074125,0.441900642,0.0661734834
2.22,0.62026575,0.526407288,0.0938584618
2.23,0.721395625,0.601835609,0.119560016
2.24,0.8083145,0.666008055,0.142306445
2.25,0.878196125,0.71696295,0.161233175
2.26,0.92864775,0.753017983,0.175629767
2.27,0.957794375,0.772824357,0.184970018
2.28,0.964342625,0.775409876,0.188932749
2.29,0.947626375,0.760209749,0.187416626
2.3,0.9076335,0.727082445,0.180551055
2.31,0.844995375,0.676313055,0.16868232
2.32,0.760967125,0.608600815,0.15236631
2.33,0.657372625,0.525034514,0.132338111
2.34,0.536546375,0.427055357,0.109491018
2.35,0.4012355,0.316409542,0.0848259577
2.36,0.254506875,0.19509252,0.059414355
2.37,0.099637625,0.0652864433,0.0343511817
2.38,-0.059997375,-0.0707050263,0.0107076513
2.39,-0.22104275,-0.210523261,-0.0105194892
2.4,-0.3802665,-0.351820123,-0.0284463768
2.41,-0.534662,-0.492319479,-0.0423425207
2.42,-0.6815375,-0.629873045,-0.0516644549
2.43,-0.81858525,-0.762508702,-0.056076548
2.44,-0.94394075,-0.888470355,-0.0554703949
2.45,-1.056206,-1.00624801,-0.0499579927
2.46,-1.15448287,-1.11459797,-0.0398849031
2.47,-1.2383535,-1.21255308,-0.0258004203
2.48,-1.30786487,-1.29942335,-0.00844152113
2.49,-1.3634855,-1.37478793,0.0113024334
2.5,-1.40605187,-1.43847926,0.0324273814
2.51,-1.43670187,-1.49056102,0.053859144
2.52,-1.45680187,-1.53130119,0.0744993101
2.53,-1.46786987,-1.56114222,0.0932723468
2.54,-1.471497,-1.58066872,0.109171723
2.55,-1.46927463,-1.59057574,0.121301118
2.56,-1.46272113,-1.59163788,0.128916755
2.57,-1.45322588,-1.58467987,0.131453997
2.58,-1.441998,-1.57055231,0.128554306
2.59,-1.43002888,-1.55010845,0.120079573
2.6,-1.41807638,-1.5241878,0.10611143
2.61,-1.40665525,-1.49360206,0.0869468065
2.62,-1.39603288,-1.45912564,0.0630927644
2.63,-1.38625713,-1.42149055,0.0352334206
2.64,-1.37718238,-1.38138331,0.00420093991
2.65,-1.36850475,-1.33944552,-0.0290592335
2.66,-1.359807,-1.29627522,-0.0635317753
2.67,-1.35059613,-1.25242983,-0.0981662908
2.68,-1.34036538,-1.20842921,-0.131936163
2.69,-1.3286335,-1.16475846,-0.16387504
2.7,-1.31498125,-1.12186996,-0.193111287
2.71,-1.2990855,-1.08018415,-0.218901347
2.72,-1.28076138,-1.04008903,-0.240672346
2.73,-1.25995825,-1.0019383,-0.258019951
2.74,-1.23679,-0.966048267,-0.270741733
2.75,-1.21151325,-0.932693677,-0.278819573
2.76,-1.18453163,-0.902102998,-0.282428627
2.77,-1.15636275,-0.874453593,-0.281909157
2.78,-1.12763513,-0.849867327,-0.277767798
2.79,-1.0990195,-0.828406825,-0.270612675
2.8,-1.07122725,-0.810073226,-0.261154024
2.81,-1.0449465,-0.794805728,-0.250140772
2.82,-1.0208325,-0.782482981,-0.238349519
2.83,-0.999446375,-0.772926848,-0.226519527
2.84,-0.981245375,-0.765908491,-0.215336884
2.85,-0.966548375,-0.761155595,-0.20539278
2.86,-0.9555225,-0.758362952,-0.197159548
2.87,-0.948177,-0.757202911,-0.190974089
2.88,-0.944363125,-0.757337855,-0.18702527
2.89,-0.9437745,-0.758432595,-0.185341905
2.9,-0.945974375,-0.760166752,-0.185807623
2.91,-0.95040675,-0.762246159,-0.188160591
2.92,-0.956430875,-0.764412603,-0.192018272
2.93,-0.963354125,-0.766452254,-0.196901871
2.94,-0.97045675,-0.768201532,-0.202255218
2.95,-0.977036125,-0.769550043,-0.207486082
2.96,-0.9824405,-0.770441432,-0.211999068
2.97,-0.986086875,-0.770871237,-0.215215638
2.98,-0.987499875,-0.770881906,-0.216617969
2.99,-0.98632725,-0.770555965,-0.215771285
3,-0.982344375,-0.770007152,-0.212337223
3.01,-0.975476875,-0.769369768,-0.206107107
3.02,-0.965785375,-0.768787827,-0.196997548
3.03,-0.9534635,-0.768403498,-0.185060002
3.04,-0.93882175,-0.768346368,-0.170475382
3.05,-0.922266125,-0.768723036,-0.153543089
3.06,-0.904269125,-0.769608481,-0.134660644
3.07,-0.885346375,-0.771039406,-0.114306969
3.08,-0.866023,-0.773008532,-0.0930144681
3.09,-0.84679825,-0.775462569,-0.0713356811
3.1,-0.82812525,-0.778301226,-0.0498240244
3.11,-0.810376625,-0.781378483,-0.0289981416
3.12,-0.793818125,-0.784505959,-0.00931216632
3.13,-0.77859575,-0.78745839,0.0088626405
3.14,-0.764721125,-0.789977606,0.0252564805
3.15,-0.7520615,-0.791780155,0.0397186545
3.16,-0.740341,-0.792562206,0.0522212062
3.17,-0.729148125,-0.792005072,0.0628569474
3.18,-0.71794325,-0.789780538,0.0718372883
3.19,-0.70607925,-0.785553889,0.0794746388
3.2,-0.69281075,-0.77898604,0.0861752899
3.21,-0.677333625,-0.769732387,0.0923987622
3.22,-0.65879625,-0.757446122,0.0986498724
3.23,-0.6363345,-0.741768436,0.105433936
