'y-axis saved as y
'Q,PG3_59701-1.xye,SigmaYobs,Ycalc,Diff
35.5807411,80.4630642,4.57908081,0,0
35.5521985,79.6061488,4.55919416,0,0
35.5236788,80.7026397,4.5735743,0,0
35.4951821,78.4911708,4.51281652,0,0
35.4667083,79.2833993,4.52829944,0,0
35.4382574,81.1023938,4.56600118,0,0
35.4098295,81.1979979,4.55841953,0,0
35.3814245,78.9938611,4.49801719,0,0
35.3530423,77.1219782,4.45052628,0,0
35.3246829,78.387169,4.47317764,0,0
35.2963464,78.7483586,4.4732614,0,0
35.2680328,79.0333794,4.47171582,0,0
35.2397419,77.8339682,4.43817962,0,0
35.2114738,78.9465676,4.45671013,0,0
35.1832284,78.9351204,4.44815299,0,0
35.1550058,79.4137619,4.43998272,0,0
35.1268059,79.5946437,4.4284193,0,0
35.0986287,77.4260308,4.37301435,0,0
35.0704742,79.7492983,4.42354878,0,0
35.0423423,79.8577259,4.42046025,0,0
35.0142332,78.3167088,4.37692104,0,0
34.9861466,78.5493387,4.37535974,0,0
34.9580826,78.7465702,4.37065482,0,0
34.9300413,77.1333398,4.32856577,0,0
34.9020226,78.7979892,4.35986927,0,0
34.8740263,76.4737092,4.29912828,0,0
34.8460526,78.9309996,4.34995666,0,0
34.8181014,79.3972248,4.35073401,0,0
34.7901727,79.5737113,4.34324697,0,0
34.7622666,79.8906934,4.34519272,0,0
34.7343829,78.2686714,4.30584449,0,0
34.7065216,77.6849471,4.28746752,0,0
34.6786828,78.5907964,4.30636213,0,0
34.6508663,78.9979334,4.31056754,0,0
34.6230723,78.3625165,4.28924487,0,0
34.5953006,78.5754705,4.28732318,0,0
34.5675512,77.0470108,4.24460712,0,0
34.5398242,81.4873841,4.3331147,0,0
34.5121196,80.3743497,4.30409483,0,0
34.4844372,78.9638584,4.26857993,0,0
34.4567772,77.720743,4.23111647,0,0
34.4291394,79.1685665,4.24895143,0,0
34.4015238,80.8409087,4.27628293,0,0
34.3739305,79.1057625,4.23610659,0,0
34.3463593,80.5878983,4.26296881,0,0
34.3188104,77.9596816,4.20416625,0,0
34.2912836,79.2871844,4.23111839,0,0
34.2637791,79.5997436,4.2327626,0,0
34.2362966,77.5669859,4.17864772,0,0
34.2088363,76.9260507,4.15617177,0,0
34.181398,78.6825442,4.18503417,0,0
34.1539819,78.5745349,4.17337087,0,0
34.1265878,78.8805107,4.17221903,0,0
34.0992157,78.7206142,4.16011136,0,0
34.0718658,78.149894,4.13848964,0,0
34.0445377,78.6056224,4.14145883,0,0
34.0172318,78.5509887,4.13318811,0,0
33.9899478,78.4782927,4.13187956,0,0
33.9626857,77.6958281,4.12044387,0,0
33.9354456,78.6995495,4.13303952,0,0
33.9082274,80.6123461,4.15709614,0,0
33.8810311,78.8012876,4.10673771,0,0
33.8538568,78.4888489,4.0969706,0,0
33.8267042,78.6799489,4.09752239,0,0
33.7995735,80.3752668,4.12769303,0,0
33.7724647,79.0329419,4.09484769,0,0
33.7453777,78.5057426,4.07685406,0,0
33.7183125,78.1458794,4.06420483,0,0
33.6912691,78.7965358,4.06796636,0,0
33.6642474,78.8977821,4.06249093,0,0
33.6372474,79.9665683,4.08668845,0,0
33.6102693,80.471381,4.09727429,0,0
33.5833128,78.5710047,4.0533007,0,0
33.5563781,80.0031843,4.07214361,0,0
33.5294649,78.656343,4.03203696,0,0
33.5025735,78.8534791,4.02491371,0,0
33.4757037,79.4203833,4.02859872,0,0
33.4488555,81.1019148,4.06081284,0,0
33.422029,80.3083412,4.04455686,0,0
33.395224,79.5269542,4.01730674,0,0
33.3684406,80.0976498,4.01777714,0,0
33.3416787,79.1726794,3.99771413,0,0
33.3149384,78.7785593,3.98601445,0,0
