'y-axis saved as y
'Q,PG3_59703-1.xye,SigmaYobs,Ycalc,Diff
39.367519,43.3632212,4.07517447,0,0
39.3359263,45.3715904,4.13826405,0,0
39.304359,46.3769986,4.17087515,0,0
39.2728171,45.3618324,4.14861238,0,0
39.2413008,44.2942207,4.1111373,0,0
39.2098097,44.7836233,4.11109947,0,0
39.1783441,44.1503216,4.0846058,0,0
39.1469038,47.6968233,4.19395834,0,0
39.1154888,44.3906799,4.08657912,0,0
39.0840992,46.2019092,4.12860579,0,0
39.0527349,46.6182107,4.13047867,0,0
39.0213957,46.0598232,4.1043926,0,0
38.990082,45.0061915,4.06314738,0,0
38.9587933,45.9446799,4.07174254,0,0
38.9275299,46.368199,4.06965724,0,0
38.8962917,43.7765307,3.98127271,0,0
38.8650787,46.5118626,4.05183041,0,0
38.8338908,47.9301333,4.0755447,0,0
38.802728,47.3641103,4.03908998,0,0
38.7715904,44.7969644,3.96083508,0,0
38.7404778,45.4004349,3.97224063,0,0
38.7093903,46.2906025,3.97827061,0,0
38.6783278,46.2851898,3.96567566,0,0
38.6472904,44.4308061,3.90411361,0,0
38.6162779,46.089175,3.95260528,0,0
38.5852905,44.5397474,3.89308235,0,0
38.5543281,46.1436373,3.92549179,0,0
38.5233905,43.5839024,3.84375824,0,0
38.492478,45.8347734,3.89333759,0,0
38.4615902,46.552988,3.89577171,0,0
38.4307274,47.3965381,3.90743976,0,0
38.3998894,46.250192,3.87730057,0,0
38.3690763,46.760876,3.88825612,0,0
38.338288,45.894182,3.85531575,0,0
38.3075245,45.4281663,3.83043351,0,0
38.2767858,46.4449019,3.85225475,0,0
38.2460719,46.2961109,3.83997718,0,0
38.2153826,44.9057322,3.7839955,0,0
38.1847182,46.3608885,3.81154814,0,0
38.1540784,46.52045,3.80908044,0,0
38.1234633,45.8621481,3.79005868,0,0
38.0928729,44.8836572,3.75461484,0,0
38.0623071,46.3575209,3.78911886,0,0
38.0317659,45.9627925,3.76592962,0,0
38.0012494,46.3020012,3.7648302,0,0
37.9707574,46.5228627,3.75714861,0,0
37.94029,45.4883422,3.71962984,0,0
37.9098471,45.9949032,3.73247758,0,0
37.8794287,44.4743438,3.68184487,0,0
37.8490349,47.7291038,3.76191606,0,0
37.8186655,48.0446004,3.76483047,0,0
37.7883206,45.2774249,3.68324896,0,0
37.7580001,45.9177318,3.70114977,0,0
37.7277041,45.2915328,3.67233003,0,0
37.6974325,44.7220017,3.64038513,0,0
37.6671853,44.7466193,3.62349247,0,0
37.6369623,45.3461494,3.6218774,0,0
37.6067638,45.712251,3.62447495,0,0
37.5765895,47.0727219,3.66697424,0,0
37.5464396,45.7200702,3.62662195,0,0
37.5163141,45.1887618,3.59751537,0,0
37.4862126,46.7962969,3.6358461,0,0
37.4561355,45.3505146,3.58754254,0,0
37.4260826,45.0498594,3.57105384,0,0
37.3960539,46.1059196,3.59459503,0,0
37.3660495,44.740867,3.54907994,0,0
37.3360691,47.9170354,3.6231117,0,0
37.3061129,46.0295593,3.56523702,0,0
37.2761808,45.9299478,3.56267493,0,0
37.2462729,45.2731969,3.54419642,0,0
37.216389,47.2274451,3.59904494,0,0
37.1865293,46.4795472,3.57944321,0,0
37.1566934,45.9071852,3.555173,0,0
37.1268817,45.948291,3.54337619,0,0
37.097094,45.5852124,3.5222281,0,0
37.0673303,46.1950437,3.52711493,0,0
37.0375906,45.9909593,3.51206921,0,0
37.0078747,47.5695165,3.54747245,0,0
36.9781829,44.4824834,3.45957653,0,0
36.9485149,46.2402658,3.49856733,0,0
36.9188709,46.2458918,3.49011996,0,0
36.8892508,46.0907684,3.47796229,0,0
36.8596544,47.7147987,3.51999368,0,0
36.8300819,45.8124174,3.46884627,0,0
36.8005332,45.8060231,3.45878435,0,0
36.7710083,47.4749932,3.48930629,0,0
36.7415073,46.4839485,3.46267833,0,0
36.71203,45.9576833,3.44934752,0,0
36.6825763,45.261472,3.42532385,0,0
36.6531464,47.4319345,3.47800055,0,0
36.6237402,46.7124787,3.45583947,0,0
36.5943578,47.1617204,3.45591951,0,0
36.5649989,46.3534784,3.42916275,0,0
36.5356637,45.0541811,3.39461828,0,0
36.5063522,46.8841203,3.43628377,0,0
36.4770642,47.4224501,3.43690784,0,0
36.4477998,45.2690158,3.37316559,0,0
36.418559,47.0327922,3.41347213,0,0
36.3893417,46.973532,3.40920324,0,0
36.360148,45.3583294,3.36221527,0,0
36.3309777,45.3474091,3.35581919,0,0
36.3018309,45.8751083,3.36631144,0,0
36.2727077,45.894462,3.36332198,0,0
36.2436079,45.3270807,3.34593642,0,0
36.2145315,46.6535624,3.37301691,0,0
36.1854785,46.8272653,3.36969146,0,0
36.1564489,45.8102521,3.3336143,0,0
36.1274428,46.9011354,3.35586611,0,0
36.0984599,46.1630184,3.33589677,0,0
36.0695004,47.9125373,3.37629321,0,0
36.0405641,46.6414884,3.34076641,0,0
36.0116513,45.3392965,3.30774896,0,0
35.9827617,46.6209474,3.33081912,0,0
35.9538954,46.2391474,3.30958389,0,0
35.9250522,47.3104209,3.32820293,0,0
35.8962324,46.429655,3.3050117,0,0
35.8674357,44.9428716,3.2686243,0,0
35.8386622,44.78483,3.26008395,0,0
35.8099118,45.2124869,3.25975662,0,0
35.7811846,46.1939455,3.27177391,0,0
35.7524806,47.3191236,3.29945238,0,0
35.7237997,45.2783807,3.24719049,0,0
35.6951419,47.2476586,3.28687982,0,0
35.6665071,45.0034959,3.23158209,0,0
35.6378954,46.9373777,3.2670633,0,0
35.6093067,46.4818589,3.24622864,0,0
35.5807411,46.8427062,3.25769133,0,0
35.5521985,45.6379379,3.23031179,0,0
35.5236788,46.2216186,3.23577539,0,0
35.4951821,46.3778293,3.231291,0,0
35.4667083,45.9011176,3.21928896,0,0
35.4382574,44.5679226,3.18532838,0,0
35.4098295,46.8320388,3.23297752,0,0
35.3814245,46.4992609,3.21639732,0,0
35.3530423,46.0061665,3.20200172,0,0
35.3246829,47.0472613,3.22310013,0,0
35.2963464,45.9584065,3.19079361,0,0
35.2680328,45.2810216,3.16854142,0,0
35.2397419,45.2896551,3.16471562,0,0
35.2114738,45.6883555,3.17003977,0,0
35.1832284,45.7224749,3.16477451,0,0
35.1550058,46.5569196,3.16737865,0,0
35.1268059,47.4005834,3.17364996,0,0
35.0986287,47.6193275,3.17455923,0,0
35.0704742,44.8031412,3.10795202,0,0
35.0423423,46.3428973,3.14187597,0,0
35.0142332,46.2052681,3.13151204,0,0
34.9861466,47.8774099,3.16648069,0,0
34.9580826,46.6363828,3.1300482,0,0
34.9300413,46.9973263,3.13461649,0,0
34.9020226,46.8974764,3.12851189,0,0
34.8740263,45.1994517,3.0811902,0,0
34.8460526,46.11483,3.10120162,0,0
34.8181014,45.1171192,3.06980212,0,0
34.7901727,47.3011885,3.1115051,0,0
34.7622666,45.662414,3.06993478,0,0
34.7343829,45.7689796,3.07079085,0,0
34.7065216,47.575167,3.10932084,0,0
34.6786828,45.1047514,3.05260748,0,0
34.6508663,44.83347,3.04343342,0,0
34.6230723,46.6653447,3.08052088,0,0
34.5953006,45.1862334,3.0411437,0,0
34.5675512,45.5493823,3.04192769,0,0
34.5398242,45.3094895,3.03000721,0,0
34.5121196,45.4165101,3.02937576,0,0
34.4844372,45.2300556,3.02191213,0,0
34.4567772,46.499572,3.04244587,0,0
34.4291394,46.6013117,3.0325166,0,0
34.4015238,46.2663489,3.01779286,0,0
34.3739305,45.5824794,3.00128747,0,0
34.3463593,46.0436195,3.00906541,0,0
34.3188104,45.0554484,2.9861497,0,0
34.2912836,45.3958488,2.99475164,0,0
34.2637791,45.625278,2.9970934,0,0
34.2362966,45.9479841,2.99558989,0,0
34.2088363,46.9542827,3.01161416,0,0
34.181398,45.758763,2.97727555,0,0
34.1539819,46.1219992,2.97795505,0,0
34.1265878,47.1359758,2.99513162,0,0
34.0992157,46.7839932,2.980206,0,0
34.0718658,45.7839551,2.94969463,0,0
34.0445377,45.9436942,2.94846045,0,0
34.0172318,47.3442891,2.97481292,0,0
33.9899478,45.738208,2.94106066,0,0
33.9626857,45.4932575,2.94325876,0,0
33.9354456,44.8523888,2.92185382,0,0
33.9082274,46.0320793,2.93359898,0,0
33.8810311,44.7162528,2.89269088,0,0
33.8538568,45.8246837,2.91657011,0,0
33.8267042,45.740116,2.91311224,0,0
33.7995735,47.1497827,2.94116566,0,0
33.7724647,45.3549033,2.89791616,0,0
33.7453777,47.1998593,2.93358888,0,0
33.7183125,45.3947689,2.88990681,0,0
33.6912691,45.3704831,2.88085936,0,0
33.6642474,46.0365894,2.88962345,0,0
33.6372474,46.1468293,2.89633542,0,0
33.6102693,46.8610966,2.91436928,0,0
33.5833128,45.483338,2.88078627,0,0
33.5563781,47.063482,2.9062212,0,0
33.5294649,46.4350381,2.88116734,0,0
33.5025735,45.488639,2.85023141,0,0
33.4757037,46.6524734,2.86939133,0,0
33.4488555,46.6494625,2.8690092,0,0
33.422029,47.9724159,2.89972262,0,0
33.395224,46.9500994,2.86735588,0,0
33.3684406,46.1624001,2.84004799,0,0
33.3416787,46.7040329,2.85259193,0,0
33.3149384,47.3102566,2.86374441,0,0
33.2882196,47.5423051,2.86739379,0,0
33.2615223,46.5212963,2.8473285,0,0
33.2348465,47.2034107,2.86039225,0,0
33.2081922,46.3974626,2.83655779,0,0
33.1815593,47.5286072,2.85520386,0,0
33.1549478,47.1551714,2.84222788,0,0
33.1283578,47.5940902,2.85055098,0,0
33.1017891,47.7995654,2.84956681,0,0
33.0752419,46.250629,2.80952434,0,0
33.048716,46.1383505,2.8029254,0,0
33.0222114,46.9428266,2.81914406,0,0
32.9957283,46.103437,2.80102116,0,0
32.9692663,47.3039113,2.82147275,0,0
32.9428257,47.6033339,2.8244885,0,0
32.9164063,46.6557584,2.80295165,0,0
32.8900083,46.753448,2.80301557,0,0
32.8636314,46.4142792,2.7927825,0,0
32.8372758,46.4851926,2.79098802,0,0
32.8109414,47.3033476,2.80626949,0,0
32.7846282,46.2988488,2.77935449,0,0
32.7583362,46.6742451,2.78228022,0,0
32.7320652,45.8904014,2.76066313,0,0
32.7058155,47.3417534,2.78818258,0,0
32.6795869,46.1895495,2.76052716,0,0
32.6533794,46.4078427,2.76091514,0,0
32.627193,46.8045624,2.76581992,0,0
32.6010276,47.3449032,2.77211088,0,0
32.5748833,47.4399783,2.77195471,0,0
32.54876,46.0829855,2.74055755,0,0
32.5226577,47.4747515,2.76508574,0,0
32.4965765,46.3607417,2.73959211,0,0
32.4705163,47.319825,2.75580524,0,0
32.4444769,46.110354,2.72632975,0,0
32.4184586,45.9893397,2.71686019,0,0
32.3924612,46.4642481,2.72309975,0,0
32.3664847,47.2064213,2.73390377,0,0
32.3405291,47.4389547,2.7339489,0,0
32.3145944,46.8147984,2.71893344,0,0
32.2886806,46.043619,2.69859239,0,0
32.2627876,46.766589,2.71129421,0,0
32.2369155,46.116953,2.69716786,0,0
32.2110641,46.5944102,2.70467042,0,0
32.1852336,46.6576974,2.69972106,0,0
32.1594238,45.1625231,2.66291163,0,0
32.1336348,46.210834,2.68563883,0,0
32.1078666,46.7145577,2.69616935,0,0
32.0821191,46.7415859,2.68988104,0,0
32.0563923,47.850508,2.70586025,0,0
32.0306862,47.0147877,2.68889937,0,0
32.0050008,46.7813389,2.67991097,0,0
31.979336,48.5475753,2.71028625,0,0
31.953692,46.9403075,2.67429623,0,0
31.9280685,48.3149324,2.70222546,0,0
31.9024656,46.2435537,2.66074122,0,0
31.8768834,46.4108766,2.66221337,0,0
31.8513217,46.2762042,2.65588032,0,0
31.8257806,45.8808036,2.64196343,0,0
31.80026,46.2885562,2.6449119,0,0
31.77476,46.8618505,2.64704143,0,0
31.7492805,47.816163,2.66072531,0,0
31.7238215,46.2124014,2.62794263,0,0
31.6983829,46.9230613,2.64129485,0,0
31.6729649,46.3056626,2.62927483,0,0
31.6475673,46.5260101,2.63302313,0,0
31.6221901,44.9728672,2.5984517,0,0
31.5968334,46.6455835,2.62842383,0,0
31.5714969,48.301666,2.65597187,0,0
31.546181,46.7972799,2.62458968,0,0
31.5208854,46.147121,2.60892352,0,0
31.4956101,46.4997067,2.60970552,0,0
31.4703552,46.8724923,2.61160301,0,0
31.4451205,46.065342,2.59407941,0,0
31.4199062,46.2549664,2.59760624,0,0
31.3947121,46.0325962,2.58803031,0,0
31.3695384,47.3973979,2.60747356,0,0
31.3443849,46.4972802,2.58494942,0,0
31.3192516,47.0063139,2.59463885,0,0
