,Frequency,Z real,Z imag,Fit real,Fit imag,Dataset,sample_name,material_name,height,diameter
0,2000039.0,4414.056,12145.62,5421.811640223642,11462.329754879072,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
1,1588711.0,6731.727,14392.48,7330.68257386881,13306.894121265408,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
2,1261992.0,9864.23,15945.71,9783.519010700224,15116.752769950985,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
3,1002539.0,13568.41,17348.69,12804.718260256763,16710.358870721328,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
4,796289.1,17579.16,18324.22,16330.868268671036,17877.2119160436,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
5,632460.9,21124.04,18222.23,20191.54922842927,18431.021466942904,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
6,502382.8,24122.29,17560.81,24130.788302665467,18273.687692743297,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
7,399257.8,28019.82,16590.87,27870.896028999505,17434.50733882327,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
8,316992.2,31736.04,14718.71,31188.191685910377,16058.14614887733,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
9,251835.9,33610.19,13455.99,33959.980290452615,14349.803481399134,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
10,200039.1,37959.71,12755.25,36165.925058574474,12512.341656901284,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
11,159023.4,35695.02,12757.76,37857.786617915706,10704.982351636458,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
12,126210.9,40383.57,13205.33,39122.02134932169,9030.543250211029,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
13,100429.7,38929.64,7096.945,40051.221718191,7542.04707043197,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
14,79804.69,39589.16,5664.315,40728.30399258381,6256.751666417119,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
15,63398.44,40111.62,4792.59,41220.625976543015,5169.892345596154,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
16,50273.44,40363.73,4208.699,41579.807015883474,4265.112208194274,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
17,39960.94,40517.84,3386.628,41844.02440999945,3521.3094145278283,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
18,31757.81,40967.99,2874.693,42040.93497330618,2916.67561825855,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
19,25195.31,41323.64,2104.444,42190.37218954953,2430.8422955828773,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
20,20039.06,41093.43,1756.156,42306.53486391623,2045.8688444246218,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
21,16054.69,41260.27,1531.043,42399.64847741512,1746.5741173967613,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
22,12773.44,41323.01,1442.719,42477.180157473296,1520.5254672443966,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
23,9946.65,41694.58,1513.994,42544.709629786346,1357.870802048429,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
24,7888.72,41486.29,1432.204,42606.54874101204,1251.11831114028,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
25,6288.11,41636.72,1155.394,42666.18339667589,1194.9204297789934,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
26,5039.063,41675.61,1247.096,42726.59325993323,1185.8912042888874,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
27,4001.524,41761.11,1308.757,42790.48936102607,1222.4712819934903,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
28,3161.337,41856.91,1407.478,42860.498319742415,1304.8471161867096,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
29,2507.267,42061.7,1228.084,42939.3136903517,1434.9275479959779,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
30,1979.167,42150.25,1480.208,43029.82928895441,1616.3799055362963,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
31,1598.011,42271.4,1743.969,43135.26560212055,1854.728130095752,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
32,1257.622,42427.02,2093.771,43259.29798418083,2157.516644281605,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
33,1004.464,42592.4,2473.15,43406.193947879605,2534.5454323709732,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
34,800.3049,42800.21,2927.346,43580.96617408969,2998.183980516442,"(85, 1)",AC044_20241210_Final,Li$_{1.9}$Zn$_{0.9}$Zr$_{0.07}$Cl$_4$,1.208,6
