'y-axis saved as y
'x,NOM_9999_AC032_1_25_ftfrgr.xye,Ycalc,Diff
1.5,-0.630972375,-0.388124222,-0.242848153
1.51,-0.64224625,-0.393021163,-0.249225087
1.52,-0.64831,-0.397913921,-0.250396079
1.53,-0.648891875,-0.402663783,-0.246228092
1.54,-0.644023125,-0.407144338,-0.236878787
1.55,-0.6340395,-0.411249053,-0.222790447
1.56,-0.61956475,-0.414897549,-0.204667201
1.57,-0.60148225,-0.418040212,-0.183442038
1.58,-0.5808845,-0.420660928,-0.160223572
1.59,-0.559011625,-0.422777681,-0.136233944
1.6,-0.53717675,-0.424441055,-0.112735695
1.61,-0.5166985,-0.42573076,-0.09096774
1.62,-0.49882225,-0.426750422,-0.0720718281
1.63,-0.484649375,-0.42762094,-0.0570284355
1.64,-0.475071,-0.428472779,-0.0465982209
1.65,-0.470720125,-0.429437704,-0.0412824214
1.66,-0.47193725,-0.430640454,-0.0412967962
1.67,-0.478742,-0.432190929,-0.0465510713
1.68,-0.490844625,-0.434177421,-0.0566672043
1.69,-0.5076545,-0.436661092,-0.0709934082
1.7,-0.528314,-0.439672014,-0.0886419859
1.71,-0.55175375,-0.443207254,-0.108546496
1.72,-0.576749,-0.447230988,-0.129518012
1.73,-0.60199125,-0.451676642,-0.150314608
1.74,-0.626163375,-0.456450949,-0.169712426
1.75,-0.648011875,-0.461439663,-0.186572212
1.76,-0.666420375,-0.466514589,-0.199905786
1.77,-0.68047175,-0.471541483,-0.208930267
1.78,-0.6895,-0.476388345,-0.213111655
1.79,-0.69311975,-0.480933582,-0.212186168
1.8,-0.69125625,-0.485073516,-0.206182734
1.81,-0.684142875,-0.488728772,-0.195414103
1.82,-0.672302625,-0.491848994,-0.180453631
1.83,-0.656525,-0.494415871,-0.162109129
1.84,-0.637807875,-0.496444321,-0.141363554
1.85,-0.617308625,-0.497980818,-0.119327807
1.86,-0.596273,-0.499099784,-0.0971732162
1.87,-0.57596525,-0.49989798,-0.0760672702
1.88,-0.5575895,-0.500487077,-0.0571024231
1.89,-0.54223275,-0.500984823,-0.041247927
1.9,-0.530789,-0.501505474,-0.0292835265
1.91,-0.52391875,-0.502149719,-0.0217690307
1.92,-0.522009125,-0.502995032,-0.0190140927
1.93,-0.525150125,-0.504086726,-0.021063399
1.94,-0.533128375,-0.505430476,-0.0276978994
1.95,-0.5454445,-0.506986811,-0.0384576886
1.96,-0.561335375,-0.508667901,-0.0526674744
1.97,-0.579809625,-0.510336941,-0.069472684
1.98,-0.5997145,-0.51181036,-0.08790414
1.99,-0.619786875,-0.512862936,-0.106923939
2,-0.638724875,-0.513235669,-0.125489206
2.01,-0.6552505,-0.512645879,-0.142604621
2.02,-0.668183375,-0.510799452,-0.157383923
